symbol,metric,year,value,crawled_date
VSF,Doanh thu bán hàng và CCDV,2021,16564959487.0,2025-04-12
VSF,Doanh thu bán hàng và CCDV,2022,17319198677.0,2025-04-12
VSF,Doanh thu bán hàng và CCDV,2023,23058365916.0,2025-04-12
VSF,Doanh thu bán hàng và CCDV,2024,21477429895.0,2025-04-12
VSF,Giá vốn hàng bán,2021,15594218999.0,2025-04-12
VSF,Giá vốn hàng bán,2022,15791471673.0,2025-04-12
VSF,Giá vốn hàng bán,2023,21211961777.0,2025-04-12
VSF,Giá vốn hàng bán,2024,19828321641.0,2025-04-12
VSF,Lợi nhuận gộp về BH và CCDV,2021,946363715.0,2025-04-12
VSF,Lợi nhuận gộp về BH và CCDV,2022,1512045208.0,2025-04-12
VSF,Lợi nhuận gộp về BH và CCDV,2023,1818690222.0,2025-04-12
VSF,Lợi nhuận gộp về BH và CCDV,2024,1631745276.0,2025-04-12
VSF,Lợi nhuận tài chính,2021,-80657995.0,2025-04-12
VSF,Lợi nhuận tài chính,2022,-109489354.0,2025-04-12
VSF,Lợi nhuận tài chính,2023,-160477039.0,2025-04-12
VSF,Lợi nhuận tài chính,2024,-130984636.0,2025-04-12
VSF,Lợi nhuận khác,2021,24080319.0,2025-04-12
VSF,Lợi nhuận khác,2022,22246492.0,2025-04-12
VSF,Lợi nhuận khác,2023,22472106.0,2025-04-12
VSF,Lợi nhuận khác,2024,55437501.0,2025-04-12
VSF,Tổng lợi nhuận trước thuế,2021,-298535936.0,2025-04-12
VSF,Tổng lợi nhuận trước thuế,2022,47605924.0,2025-04-12
VSF,Tổng lợi nhuận trước thuế,2023,92348026.0,2025-04-12
VSF,Tổng lợi nhuận trước thuế,2024,59108587.0,2025-04-12
VSF,Lợi nhuận sau thuế,2021,-324263178.0,2025-04-12
VSF,Lợi nhuận sau thuế,2022,21108412.0,2025-04-12
VSF,Lợi nhuận sau thuế,2023,62342032.0,2025-04-12
VSF,Lợi nhuận sau thuế,2024,29825034.0,2025-04-12
VSF,Lợi nhuận sau thuế của công ty mẹ,2021,-348895795.0,2025-04-12
VSF,Lợi nhuận sau thuế của công ty mẹ,2022,-9224142.0,2025-04-12
VSF,Lợi nhuận sau thuế của công ty mẹ,2023,23130176.0,2025-04-12
VSF,Lợi nhuận sau thuế của công ty mẹ,2024,4310857.0,2025-04-12
VSF,Tổng tài sản lưu động ngắn hạn,2021,2682527488.0,2025-04-12
VSF,Tổng tài sản lưu động ngắn hạn,2022,4851826552.0,2025-04-12
VSF,Tổng tài sản lưu động ngắn hạn,2023,2618341893.0,2025-04-12
VSF,Tổng tài sản lưu động ngắn hạn,2024,2825630456.0,2025-04-12
VSF,Tổng tài sản,2021,6525660290.0,2025-04-12
VSF,Tổng tài sản,2022,8527059336.0,2025-04-12
VSF,Tổng tài sản,2023,6232738163.0,2025-04-12
VSF,Tổng tài sản,2024,6327874253.0,2025-04-12
VSF,Nợ ngắn hạn,2021,2716602208.0,2025-04-12
VSF,Nợ ngắn hạn,2022,4700779491.0,2025-04-12
VSF,Nợ ngắn hạn,2023,2393629097.0,2025-04-12
VSF,Nợ ngắn hạn,2024,2511584723.0,2025-04-12
VSF,Tổng nợ,2021,4030792147.0,2025-04-12
VSF,Tổng nợ,2022,6072965950.0,2025-04-12
VSF,Tổng nợ,2023,3768620957.0,2025-04-12
VSF,Tổng nợ,2024,3898342058.0,2025-04-12
VSF,Vốn chủ sở hữu,2021,2494868144.0,2025-04-12
VSF,Vốn chủ sở hữu,2022,2454093386.0,2025-04-12
VSF,Vốn chủ sở hữu,2023,2464117206.0,2025-04-12
VSF,Vốn chủ sở hữu,2024,2429532194.0,2025-04-12
