symbol,metric,year,value,crawled_date
VSI,Doanh thu bán hàng và CCDV,2020,289433028.0,2025-04-12
VSI,Doanh thu bán hàng và CCDV,2022,336741031.0,2025-04-12
VSI,Doanh thu bán hàng và CCDV,2023,465001074.0,2025-04-12
VSI,Doanh thu bán hàng và CCDV,2023,465001074.0,2025-04-12
VSI,Giá vốn hàng bán,2020,220818821.0,2025-04-12
VSI,Giá vốn hàng bán,2022,266670615.0,2025-04-12
VSI,Giá vốn hàng bán,2023,393264604.0,2025-04-12
VSI,Giá vốn hàng bán,2023,393264604.0,2025-04-12
VSI,Lợi nhuận gộp về BH và CCDV,2020,68614206.0,2025-04-12
VSI,Lợi nhuận gộp về BH và CCDV,2022,70070415.0,2025-04-12
VSI,Lợi nhuận gộp về BH và CCDV,2023,71736469.0,2025-04-12
VSI,Lợi nhuận gộp về BH và CCDV,2023,71736469.0,2025-04-12
VSI,Lợi nhuận tài chính,2020,-19559678.0,2025-04-12
VSI,Lợi nhuận tài chính,2022,-15894070.0,2025-04-12
VSI,Lợi nhuận tài chính,2023,-13806565.0,2025-04-12
VSI,Lợi nhuận tài chính,2023,-13806565.0,2025-04-12
VSI,Lợi nhuận khác,2020,173000.0,2025-04-12
VSI,Lợi nhuận khác,2022,-160173.0,2025-04-12
VSI,Lợi nhuận khác,2023,-649143.0,2025-04-12
VSI,Lợi nhuận khác,2023,-649143.0,2025-04-12
VSI,Tổng lợi nhuận trước thuế,2020,25921762.0,2025-04-12
VSI,Tổng lợi nhuận trước thuế,2022,30705576.0,2025-04-12
VSI,Tổng lợi nhuận trước thuế,2023,34109054.0,2025-04-12
VSI,Tổng lợi nhuận trước thuế,2023,34109054.0,2025-04-12
VSI,Lợi nhuận sau thuế,2020,19127237.0,2025-04-12
VSI,Lợi nhuận sau thuế,2022,24150548.0,2025-04-12
VSI,Lợi nhuận sau thuế,2023,25653079.0,2025-04-12
VSI,Lợi nhuận sau thuế,2023,25653079.0,2025-04-12
VSI,Lợi nhuận sau thuế của công ty mẹ,2020,19417997.0,2025-04-12
VSI,Lợi nhuận sau thuế của công ty mẹ,2022,24360867.0,2025-04-12
VSI,Lợi nhuận sau thuế của công ty mẹ,2023,26262551.0,2025-04-12
VSI,Lợi nhuận sau thuế của công ty mẹ,2023,26262551.0,2025-04-12
VSI,Tổng tài sản lưu động ngắn hạn,2020,270411753.0,2025-04-12
VSI,Tổng tài sản lưu động ngắn hạn,2022,216123271.0,2025-04-12
VSI,Tổng tài sản lưu động ngắn hạn,2023,211481178.0,2025-04-12
VSI,Tổng tài sản lưu động ngắn hạn,2023,211481178.0,2025-04-12
VSI,Tổng tài sản,2020,657156655.0,2025-04-12
VSI,Tổng tài sản,2022,535089633.0,2025-04-12
VSI,Tổng tài sản,2023,515971692.0,2025-04-12
VSI,Tổng tài sản,2023,515971692.0,2025-04-12
VSI,Nợ ngắn hạn,2020,211820301.0,2025-04-12
VSI,Nợ ngắn hạn,2022,144443038.0,2025-04-12
VSI,Nợ ngắn hạn,2023,162696797.0,2025-04-12
VSI,Nợ ngắn hạn,2023,162696797.0,2025-04-12
VSI,Tổng nợ,2020,451754344.0,2025-04-12
VSI,Tổng nợ,2022,336596481.0,2025-04-12
VSI,Tổng nợ,2023,321645462.0,2025-04-12
VSI,Tổng nợ,2023,321645462.0,2025-04-12
VSI,Vốn chủ sở hữu,2020,205402311.0,2025-04-12
VSI,Vốn chủ sở hữu,2022,198493152.0,2025-04-12
VSI,Vốn chủ sở hữu,2023,194326231.0,2025-04-12
VSI,Vốn chủ sở hữu,2023,194326231.0,2025-04-12
