symbol,metric,year,value,crawled_date
VTB,Doanh thu bán hàng và CCDV,2020,465362542.0,2025-04-12
VTB,Doanh thu bán hàng và CCDV,2022,249825833.0,2025-04-12
VTB,Doanh thu bán hàng và CCDV,2023,113424029.0,2025-04-12
VTB,Doanh thu bán hàng và CCDV,2024,114583221.0,2025-04-12
VTB,Giá vốn hàng bán,2020,322785675.0,2025-04-12
VTB,Giá vốn hàng bán,2022,174093016.0,2025-04-12
VTB,Giá vốn hàng bán,2023,41644115.0,2025-04-12
VTB,Giá vốn hàng bán,2024,51567687.0,2025-04-12
VTB,Lợi nhuận gộp về BH và CCDV,2020,135839479.0,2025-04-12
VTB,Lợi nhuận gộp về BH và CCDV,2022,74268751.0,2025-04-12
VTB,Lợi nhuận gộp về BH và CCDV,2023,71316823.0,2025-04-12
VTB,Lợi nhuận gộp về BH và CCDV,2024,62956571.0,2025-04-12
VTB,Lợi nhuận tài chính,2020,-407791.0,2025-04-12
VTB,Lợi nhuận tài chính,2022,3838187.0,2025-04-12
VTB,Lợi nhuận tài chính,2023,4709137.0,2025-04-12
VTB,Lợi nhuận tài chính,2024,2851221.0,2025-04-12
VTB,Lợi nhuận khác,2020,-402589.0,2025-04-12
VTB,Lợi nhuận khác,2022,-300280.0,2025-04-12
VTB,Lợi nhuận khác,2023,-105387.0,2025-04-12
VTB,Lợi nhuận khác,2024,-232678.0,2025-04-12
VTB,Tổng lợi nhuận trước thuế,2020,33266061.0,2025-04-12
VTB,Tổng lợi nhuận trước thuế,2022,27240200.0,2025-04-12
VTB,Tổng lợi nhuận trước thuế,2023,14551133.0,2025-04-12
VTB,Tổng lợi nhuận trước thuế,2024,14218135.0,2025-04-12
VTB,Lợi nhuận sau thuế,2020,26847214.0,2025-04-12
VTB,Lợi nhuận sau thuế,2022,22403721.0,2025-04-12
VTB,Lợi nhuận sau thuế,2023,10709597.0,2025-04-12
VTB,Lợi nhuận sau thuế,2024,11216216.0,2025-04-12
VTB,Lợi nhuận sau thuế của công ty mẹ,2020,19598747.0,2025-04-12
VTB,Lợi nhuận sau thuế của công ty mẹ,2022,18600584.0,2025-04-12
VTB,Lợi nhuận sau thuế của công ty mẹ,2023,10803511.0,2025-04-12
VTB,Lợi nhuận sau thuế của công ty mẹ,2024,11540748.0,2025-04-12
VTB,Tổng tài sản lưu động ngắn hạn,2020,190067256.0,2025-04-12
VTB,Tổng tài sản lưu động ngắn hạn,2022,130836948.0,2025-04-12
VTB,Tổng tài sản lưu động ngắn hạn,2023,116288164.0,2025-04-12
VTB,Tổng tài sản lưu động ngắn hạn,2024,127582421.0,2025-04-12
VTB,Tổng tài sản,2020,305748642.0,2025-04-12
VTB,Tổng tài sản,2022,234419715.0,2025-04-12
VTB,Tổng tài sản,2023,230662145.0,2025-04-12
VTB,Tổng tài sản,2024,237414552.0,2025-04-12
VTB,Nợ ngắn hạn,2020,81735299.0,2025-04-12
VTB,Nợ ngắn hạn,2022,28261184.0,2025-04-12
VTB,Nợ ngắn hạn,2023,21106930.0,2025-04-12
VTB,Nợ ngắn hạn,2024,27196909.0,2025-04-12
VTB,Tổng nợ,2020,95176693.0,2025-04-12
VTB,Tổng nợ,2022,47037284.0,2025-04-12
VTB,Tổng nợ,2023,44231936.0,2025-04-12
VTB,Tổng nợ,2024,50919392.0,2025-04-12
VTB,Vốn chủ sở hữu,2020,210571949.0,2025-04-12
VTB,Vốn chủ sở hữu,2022,187382430.0,2025-04-12
VTB,Vốn chủ sở hữu,2023,186430210.0,2025-04-12
VTB,Vốn chủ sở hữu,2024,186495160.0,2025-04-12
