symbol,metric,year,value,crawled_date
VTG,Doanh thu bán hàng và CCDV,2021,44587366.0,2025-04-12
VTG,Doanh thu bán hàng và CCDV,2022,65700884.0,2025-04-12
VTG,Doanh thu bán hàng và CCDV,2023,36259710.0,2025-04-12
VTG,Doanh thu bán hàng và CCDV,2024,26280926.0,2025-04-12
VTG,Giá vốn hàng bán,2021,29021767.0,2025-04-12
VTG,Giá vốn hàng bán,2022,34099898.0,2025-04-12
VTG,Giá vốn hàng bán,2023,23604822.0,2025-04-12
VTG,Giá vốn hàng bán,2024,23782267.0,2025-04-12
VTG,Lợi nhuận gộp về BH và CCDV,2021,15565599.0,2025-04-12
VTG,Lợi nhuận gộp về BH và CCDV,2022,31600986.0,2025-04-12
VTG,Lợi nhuận gộp về BH và CCDV,2023,12654889.0,2025-04-12
VTG,Lợi nhuận gộp về BH và CCDV,2024,2498659.0,2025-04-12
VTG,Lợi nhuận tài chính,2021,536893.0,2025-04-12
VTG,Lợi nhuận tài chính,2022,29063244.0,2025-04-12
VTG,Lợi nhuận tài chính,2023,3910204.0,2025-04-12
VTG,Lợi nhuận tài chính,2024,-4997823.0,2025-04-12
VTG,Lợi nhuận khác,2021,764649.0,2025-04-12
VTG,Lợi nhuận khác,2022,14855.0,2025-04-12
VTG,Lợi nhuận khác,2023,1212762.0,2025-04-12
VTG,Lợi nhuận khác,2024,25089780.0,2025-04-12
VTG,Tổng lợi nhuận trước thuế,2021,-19147561.0,2025-04-12
VTG,Tổng lợi nhuận trước thuế,2022,28091801.0,2025-04-12
VTG,Tổng lợi nhuận trước thuế,2023,-7487815.0,2025-04-12
VTG,Tổng lợi nhuận trước thuế,2024,6427080.0,2025-04-12
VTG,Lợi nhuận sau thuế,2021,-19147561.0,2025-04-12
VTG,Lợi nhuận sau thuế,2022,27828316.0,2025-04-12
VTG,Lợi nhuận sau thuế,2023,-7777634.0,2025-04-12
VTG,Lợi nhuận sau thuế,2024,6104792.0,2025-04-12
VTG,Lợi nhuận sau thuế của công ty mẹ,2021,-18741033.0,2025-04-12
VTG,Lợi nhuận sau thuế của công ty mẹ,2022,27150675.0,2025-04-12
VTG,Lợi nhuận sau thuế của công ty mẹ,2023,-8197456.0,2025-04-12
VTG,Lợi nhuận sau thuế của công ty mẹ,2024,5535070.0,2025-04-12
VTG,Tổng tài sản lưu động ngắn hạn,2021,72888036.0,2025-04-12
VTG,Tổng tài sản lưu động ngắn hạn,2022,98472189.0,2025-04-12
VTG,Tổng tài sản lưu động ngắn hạn,2023,95439592.0,2025-04-12
VTG,Tổng tài sản lưu động ngắn hạn,2024,137705861.0,2025-04-12
VTG,Tổng tài sản,2021,205063318.0,2025-04-12
VTG,Tổng tài sản,2022,217373948.0,2025-04-12
VTG,Tổng tài sản,2023,203714012.0,2025-04-12
VTG,Tổng tài sản,2024,204678447.0,2025-04-12
VTG,Nợ ngắn hạn,2021,46935571.0,2025-04-12
VTG,Nợ ngắn hạn,2022,32145249.0,2025-04-12
VTG,Nợ ngắn hạn,2023,26977294.0,2025-04-12
VTG,Nợ ngắn hạn,2024,22126606.0,2025-04-12
VTG,Tổng nợ,2021,61585113.0,2025-04-12
VTG,Tổng nợ,2022,46596790.0,2025-04-12
VTG,Tổng nợ,2023,41258835.0,2025-04-12
VTG,Tổng nợ,2024,36393147.0,2025-04-12
VTG,Vốn chủ sở hữu,2021,143478205.0,2025-04-12
VTG,Vốn chủ sở hữu,2022,170777157.0,2025-04-12
VTG,Vốn chủ sở hữu,2023,162455177.0,2025-04-12
VTG,Vốn chủ sở hữu,2024,168285299.0,2025-04-12
