symbol,metric,year,value,crawled_date
VTH,Doanh thu bán hàng và CCDV,2021,298473113.0,2025-04-12
VTH,Doanh thu bán hàng và CCDV,2022,414674018.0,2025-04-12
VTH,Doanh thu bán hàng và CCDV,2023,509281516.0,2025-04-12
VTH,Doanh thu bán hàng và CCDV,2024,762822938.0,2025-04-12
VTH,Giá vốn hàng bán,2021,274928518.0,2025-04-12
VTH,Giá vốn hàng bán,2022,378969008.0,2025-04-12
VTH,Giá vốn hàng bán,2023,441739051.0,2025-04-12
VTH,Giá vốn hàng bán,2024,683928493.0,2025-04-12
VTH,Lợi nhuận gộp về BH và CCDV,2021,23502487.0,2025-04-12
VTH,Lợi nhuận gộp về BH và CCDV,2022,35472938.0,2025-04-12
VTH,Lợi nhuận gộp về BH và CCDV,2023,67231872.0,2025-04-12
VTH,Lợi nhuận gộp về BH và CCDV,2024,72877409.0,2025-04-12
VTH,Lợi nhuận tài chính,2021,-5223195.0,2025-04-12
VTH,Lợi nhuận tài chính,2022,-8445233.0,2025-04-12
VTH,Lợi nhuận tài chính,2023,-13934495.0,2025-04-12
VTH,Lợi nhuận tài chính,2024,-15602640.0,2025-04-12
VTH,Lợi nhuận khác,2021,-655769.0,2025-04-12
VTH,Lợi nhuận khác,2022,-611258.0,2025-04-12
VTH,Lợi nhuận khác,2023,-761078.0,2025-04-12
VTH,Lợi nhuận khác,2024,-234049.0,2025-04-12
VTH,Tổng lợi nhuận trước thuế,2021,5309775.0,2025-04-12
VTH,Tổng lợi nhuận trước thuế,2022,3443425.0,2025-04-12
VTH,Tổng lợi nhuận trước thuế,2023,8299442.0,2025-04-12
VTH,Tổng lợi nhuận trước thuế,2024,11969511.0,2025-04-12
VTH,Lợi nhuận sau thuế,2021,4247820.0,2025-04-12
VTH,Lợi nhuận sau thuế,2022,2632488.0,2025-04-12
VTH,Lợi nhuận sau thuế,2023,6635907.0,2025-04-12
VTH,Lợi nhuận sau thuế,2024,9215906.0,2025-04-12
VTH,Lợi nhuận sau thuế của công ty mẹ,2021,4247820.0,2025-04-12
VTH,Lợi nhuận sau thuế của công ty mẹ,2022,2632488.0,2025-04-12
VTH,Lợi nhuận sau thuế của công ty mẹ,2023,6635907.0,2025-04-12
VTH,Lợi nhuận sau thuế của công ty mẹ,2024,9215906.0,2025-04-12
VTH,Tổng tài sản lưu động ngắn hạn,2021,142291421.0,2025-04-12
VTH,Tổng tài sản lưu động ngắn hạn,2022,189897506.0,2025-04-12
VTH,Tổng tài sản lưu động ngắn hạn,2023,259163051.0,2025-04-12
VTH,Tổng tài sản lưu động ngắn hạn,2024,398561244.0,2025-04-12
VTH,Tổng tài sản,2021,191035558.0,2025-04-12
VTH,Tổng tài sản,2022,245432880.0,2025-04-12
VTH,Tổng tài sản,2023,351006726.0,2025-04-12
VTH,Tổng tài sản,2024,509193531.0,2025-04-12
VTH,Nợ ngắn hạn,2021,104041724.0,2025-04-12
VTH,Nợ ngắn hạn,2022,151222003.0,2025-04-12
VTH,Nợ ngắn hạn,2023,245393049.0,2025-04-12
VTH,Nợ ngắn hạn,2024,388996039.0,2025-04-12
VTH,Tổng nợ,2021,107795071.0,2025-04-12
VTH,Tổng nợ,2022,159559905.0,2025-04-12
VTH,Tổng nợ,2023,262518503.0,2025-04-12
VTH,Tổng nợ,2024,411489401.0,2025-04-12
VTH,Vốn chủ sở hữu,2021,83240486.0,2025-04-12
VTH,Vốn chủ sở hữu,2022,85872974.0,2025-04-12
VTH,Vốn chủ sở hữu,2023,88488223.0,2025-04-12
VTH,Vốn chủ sở hữu,2024,97704129.0,2025-04-12
