symbol,metric,year,value,crawled_date
VTP,Doanh thu bán hàng và CCDV,2021,21452031609.0,2025-04-12
VTP,Doanh thu bán hàng và CCDV,2022,21628809150.0,2025-04-12
VTP,Doanh thu bán hàng và CCDV,2023,19587521805.0,2025-04-12
VTP,Doanh thu bán hàng và CCDV,2024,20734671116.0,2025-04-12
VTP,Giá vốn hàng bán,2021,20852086579.0,2025-04-12
VTP,Giá vốn hàng bán,2022,20983250639.0,2025-04-12
VTP,Giá vốn hàng bán,2023,18706908349.0,2025-04-12
VTP,Giá vốn hàng bán,2024,19729225253.0,2025-04-12
VTP,Lợi nhuận gộp về BH và CCDV,2021,599945030.0,2025-04-12
VTP,Lợi nhuận gộp về BH và CCDV,2022,645558511.0,2025-04-12
VTP,Lợi nhuận gộp về BH và CCDV,2023,880613456.0,2025-04-12
VTP,Lợi nhuận gộp về BH và CCDV,2024,1005445862.0,2025-04-12
VTP,Lợi nhuận tài chính,2021,46062584.0,2025-04-12
VTP,Lợi nhuận tài chính,2022,47669254.0,2025-04-12
VTP,Lợi nhuận tài chính,2023,70299158.0,2025-04-12
VTP,Lợi nhuận tài chính,2024,31175039.0,2025-04-12
VTP,Lợi nhuận khác,2021,5632046.0,2025-04-12
VTP,Lợi nhuận khác,2022,6157839.0,2025-04-12
VTP,Lợi nhuận khác,2023,-3860890.0,2025-04-12
VTP,Lợi nhuận khác,2024,574844.0,2025-04-12
VTP,Tổng lợi nhuận trước thuế,2021,370599824.0,2025-04-12
VTP,Tổng lợi nhuận trước thuế,2022,323417409.0,2025-04-12
VTP,Tổng lợi nhuận trước thuế,2023,478184982.0,2025-04-12
VTP,Tổng lợi nhuận trước thuế,2024,483328636.0,2025-04-12
VTP,Lợi nhuận sau thuế,2021,295893014.0,2025-04-12
VTP,Lợi nhuận sau thuế,2022,256643840.0,2025-04-12
VTP,Lợi nhuận sau thuế,2023,379877264.0,2025-04-12
VTP,Lợi nhuận sau thuế,2024,383085842.0,2025-04-12
VTP,Lợi nhuận sau thuế của công ty mẹ,2021,295893014.0,2025-04-12
VTP,Lợi nhuận sau thuế của công ty mẹ,2022,256643840.0,2025-04-12
VTP,Lợi nhuận sau thuế của công ty mẹ,2023,379877264.0,2025-04-12
VTP,Lợi nhuận sau thuế của công ty mẹ,2024,383085842.0,2025-04-12
VTP,Tổng tài sản lưu động ngắn hạn,2021,4955399467.0,2025-04-12
VTP,Tổng tài sản lưu động ngắn hạn,2022,5156881538.0,2025-04-12
VTP,Tổng tài sản lưu động ngắn hạn,2023,5496242222.0,2025-04-12
VTP,Tổng tài sản lưu động ngắn hạn,2024,4728456492.0,2025-04-12
VTP,Tổng tài sản,2021,5434271953.0,2025-04-12
VTP,Tổng tài sản,2022,5731172470.0,2025-04-12
VTP,Tổng tài sản,2023,6434292043.0,2025-04-12
VTP,Tổng tài sản,2024,6363556558.0,2025-04-12
VTP,Nợ ngắn hạn,2021,4108056895.0,2025-04-12
VTP,Nợ ngắn hạn,2022,4328913943.0,2025-04-12
VTP,Nợ ngắn hạn,2023,4799678907.0,2025-04-12
VTP,Nợ ngắn hạn,2024,4676144434.0,2025-04-12
VTP,Tổng nợ,2021,4108723895.0,2025-04-12
VTP,Tổng nợ,2022,4341351685.0,2025-04-12
VTP,Tổng nợ,2023,4853075967.0,2025-04-12
VTP,Tổng nợ,2024,4775100012.0,2025-04-12
VTP,Vốn chủ sở hữu,2021,1325548058.0,2025-04-12
VTP,Vốn chủ sở hữu,2022,1389820785.0,2025-04-12
VTP,Vốn chủ sở hữu,2023,1581216076.0,2025-04-12
VTP,Vốn chủ sở hữu,2024,1588456546.0,2025-04-12
