symbol,metric,year,value,crawled_date
VUA,Doanh thu bán hàng và CCDV,2019,41562240.0,2025-04-12
VUA,Doanh thu bán hàng và CCDV,2020,62882090.0,2025-04-12
VUA,Doanh thu bán hàng và CCDV,2021,114351730.0,2025-04-12
VUA,Doanh thu bán hàng và CCDV,2022,99742430.0,2025-04-12
VUA,Lợi nhuận tài chính,2019,254010.0,2025-04-12
VUA,Lợi nhuận tài chính,2020,209190.0,2025-04-12
VUA,Lợi nhuận tài chính,2021,-271330.0,2025-04-12
VUA,Lợi nhuận tài chính,2022,-4811700.0,2025-04-12
VUA,Tổng lợi nhuận KT trước thuế,2019,10186570.0,2025-04-12
VUA,Tổng lợi nhuận KT trước thuế,2020,26478340.0,2025-04-12
VUA,Tổng lợi nhuận KT trước thuế,2021,27074290.0,2025-04-12
VUA,Tổng lợi nhuận KT trước thuế,2022,15885390.0,2025-04-12
VUA,Lợi nhuận KT sau thuế TNDN,2019,8114480.0,2025-04-12
VUA,Lợi nhuận KT sau thuế TNDN,2020,24524270.0,2025-04-12
VUA,Lợi nhuận KT sau thuế TNDN,2021,19434810.0,2025-04-12
VUA,Lợi nhuận KT sau thuế TNDN,2022,12653020.0,2025-04-12
VUA,Lợi nhuận sau thuế của công ty mẹ,2019,8114480.0,2025-04-12
VUA,Lợi nhuận sau thuế của công ty mẹ,2020,24524270.0,2025-04-12
VUA,Lợi nhuận sau thuế của công ty mẹ,2021,19434810.0,2025-04-12
VUA,Lợi nhuận sau thuế của công ty mẹ,2022,12653020.0,2025-04-12
VUA,Lợi nhuận khác,2019,-415750.0,2025-04-12
VUA,Lợi nhuận khác,2020,-379730.0,2025-04-12
VUA,Lợi nhuận khác,2021,-314120.0,2025-04-12
VUA,Lợi nhuận khác,2022,73590.0,2025-04-12
VUA,Tổng tài sản lưu động ngắn hạn,2019,332426400.0,2025-04-12
VUA,Tổng tài sản lưu động ngắn hạn,2020,348011120.0,2025-04-12
VUA,Tổng tài sản lưu động ngắn hạn,2021,404873880.0,2025-04-12
VUA,Tổng tài sản lưu động ngắn hạn,2022,338101780.0,2025-04-12
VUA,Tổng tài sản,2019,361053020.0,2025-04-12
VUA,Tổng tài sản,2020,376740360.0,2025-04-12
VUA,Tổng tài sản,2021,428923700.0,2025-04-12
VUA,Tổng tài sản,2022,359005820.0,2025-04-12
VUA,Nợ ngắn hạn,2019,11373820.0,2025-04-12
VUA,Nợ ngắn hạn,2020,11350880.0,2025-04-12
VUA,Nợ ngắn hạn,2021,64440770.0,2025-04-12
VUA,Nợ ngắn hạn,2022,27267280.0,2025-04-12
VUA,Tổng nợ,2019,11373820.0,2025-04-12
VUA,Tổng nợ,2020,11350880.0,2025-04-12
VUA,Tổng nợ,2021,64440770.0,2025-04-12
VUA,Tổng nợ,2022,27267280.0,2025-04-12
VUA,Vốn chủ sở hữu,2019,349679200.0,2025-04-12
VUA,Vốn chủ sở hữu,2020,365389480.0,2025-04-12
VUA,Vốn chủ sở hữu,2021,364482930.0,2025-04-12
VUA,Vốn chủ sở hữu,2022,331738550.0,2025-04-12
