symbol,metric,year,value,crawled_date
VWS,Doanh thu bán hàng và CCDV,2021,95020526.0,2025-04-12
VWS,Doanh thu bán hàng và CCDV,2022,102314692.0,2025-04-12
VWS,Doanh thu bán hàng và CCDV,2023,85926770.0,2025-04-12
VWS,Doanh thu bán hàng và CCDV,2024,70727165.0,2025-04-12
VWS,Giá vốn hàng bán,2021,84165854.0,2025-04-12
VWS,Giá vốn hàng bán,2022,90346523.0,2025-04-12
VWS,Giá vốn hàng bán,2023,74456006.0,2025-04-12
VWS,Giá vốn hàng bán,2024,62321567.0,2025-04-12
VWS,Lợi nhuận gộp về BH và CCDV,2021,10854672.0,2025-04-12
VWS,Lợi nhuận gộp về BH và CCDV,2022,11968170.0,2025-04-12
VWS,Lợi nhuận gộp về BH và CCDV,2023,11470764.0,2025-04-12
VWS,Lợi nhuận gộp về BH và CCDV,2024,8405598.0,2025-04-12
VWS,Lợi nhuận tài chính,2021,817449.0,2025-04-12
VWS,Lợi nhuận tài chính,2022,751172.0,2025-04-12
VWS,Lợi nhuận tài chính,2023,711694.0,2025-04-12
VWS,Lợi nhuận tài chính,2024,833911.0,2025-04-12
VWS,Lợi nhuận khác,2021,2148392.0,2025-04-12
VWS,Lợi nhuận khác,2022,451090.0,2025-04-12
VWS,Lợi nhuận khác,2023,337342.0,2025-04-12
VWS,Lợi nhuận khác,2024,13126171.0,2025-04-12
VWS,Tổng lợi nhuận trước thuế,2021,3456183.0,2025-04-12
VWS,Tổng lợi nhuận trước thuế,2022,2323792.0,2025-04-12
VWS,Tổng lợi nhuận trước thuế,2023,1853506.0,2025-04-12
VWS,Tổng lợi nhuận trước thuế,2024,10707088.0,2025-04-12
VWS,Lợi nhuận sau thuế,2021,3013919.0,2025-04-12
VWS,Lợi nhuận sau thuế,2022,1900824.0,2025-04-12
VWS,Lợi nhuận sau thuế,2023,1526882.0,2025-04-12
VWS,Lợi nhuận sau thuế,2024,8396241.0,2025-04-12
VWS,Lợi nhuận sau thuế của công ty mẹ,2021,3013919.0,2025-04-12
VWS,Lợi nhuận sau thuế của công ty mẹ,2022,1900824.0,2025-04-12
VWS,Lợi nhuận sau thuế của công ty mẹ,2023,1526882.0,2025-04-12
VWS,Lợi nhuận sau thuế của công ty mẹ,2024,8396241.0,2025-04-12
VWS,Tổng tài sản lưu động ngắn hạn,2021,63164162.0,2025-04-12
VWS,Tổng tài sản lưu động ngắn hạn,2022,74884825.0,2025-04-12
VWS,Tổng tài sản lưu động ngắn hạn,2023,62512178.0,2025-04-12
VWS,Tổng tài sản lưu động ngắn hạn,2024,69209088.0,2025-04-12
VWS,Tổng tài sản,2021,103823344.0,2025-04-12
VWS,Tổng tài sản,2022,115504280.0,2025-04-12
VWS,Tổng tài sản,2023,102099200.0,2025-04-12
VWS,Tổng tài sản,2024,110387937.0,2025-04-12
VWS,Nợ ngắn hạn,2021,47934145.0,2025-04-12
VWS,Nợ ngắn hạn,2022,62380435.0,2025-04-12
VWS,Nợ ngắn hạn,2023,50227804.0,2025-04-12
VWS,Nợ ngắn hạn,2024,56600301.0,2025-04-12
VWS,Tổng nợ,2021,48538263.0,2025-04-12
VWS,Tổng nợ,2022,62984552.0,2025-04-12
VWS,Tổng nợ,2023,50932590.0,2025-04-12
VWS,Tổng nợ,2024,57305087.0,2025-04-12
VWS,Vốn chủ sở hữu,2021,55285081.0,2025-04-12
VWS,Vốn chủ sở hữu,2022,52519727.0,2025-04-12
VWS,Vốn chủ sở hữu,2023,51166609.0,2025-04-12
VWS,Vốn chủ sở hữu,2024,53082851.0,2025-04-12
