symbol,metric,year,value,crawled_date
X26,Doanh thu bán hàng và CCDV,2021,990419262.0,2025-04-12
X26,Doanh thu bán hàng và CCDV,2022,805549477.0,2025-04-12
X26,Doanh thu bán hàng và CCDV,2023,779226496.0,2025-04-12
X26,Doanh thu bán hàng và CCDV,2024,1138125576.0,2025-04-12
X26,Giá vốn hàng bán,2021,866584444.0,2025-04-12
X26,Giá vốn hàng bán,2022,707545912.0,2025-04-12
X26,Giá vốn hàng bán,2023,690499999.0,2025-04-12
X26,Giá vốn hàng bán,2024,1019342763.0,2025-04-12
X26,Lợi nhuận gộp về BH và CCDV,2021,123834818.0,2025-04-12
X26,Lợi nhuận gộp về BH và CCDV,2022,98003565.0,2025-04-12
X26,Lợi nhuận gộp về BH và CCDV,2023,88726497.0,2025-04-12
X26,Lợi nhuận gộp về BH và CCDV,2024,118782812.0,2025-04-12
X26,Lợi nhuận tài chính,2021,986787.0,2025-04-12
X26,Lợi nhuận tài chính,2022,4897246.0,2025-04-12
X26,Lợi nhuận tài chính,2023,2395977.0,2025-04-12
X26,Lợi nhuận tài chính,2024,3348519.0,2025-04-12
X26,Lợi nhuận khác,2021,48558.0,2025-04-12
X26,Lợi nhuận khác,2022,-5663583.0,2025-04-12
X26,Lợi nhuận khác,2023,-965969.0,2025-04-12
X26,Lợi nhuận khác,2024,2186909.0,2025-04-12
X26,Tổng lợi nhuận trước thuế,2021,33465193.0,2025-04-12
X26,Tổng lợi nhuận trước thuế,2022,24719016.0,2025-04-12
X26,Tổng lợi nhuận trước thuế,2023,24056111.0,2025-04-12
X26,Tổng lợi nhuận trước thuế,2024,37210977.0,2025-04-12
X26,Lợi nhuận sau thuế,2021,22916190.0,2025-04-12
X26,Lợi nhuận sau thuế,2022,18316005.0,2025-04-12
X26,Lợi nhuận sau thuế,2023,18282391.0,2025-04-12
X26,Lợi nhuận sau thuế,2024,32772673.0,2025-04-12
X26,Lợi nhuận sau thuế của công ty mẹ,2021,22916190.0,2025-04-12
X26,Lợi nhuận sau thuế của công ty mẹ,2022,18316005.0,2025-04-12
X26,Lợi nhuận sau thuế của công ty mẹ,2023,18282391.0,2025-04-12
X26,Lợi nhuận sau thuế của công ty mẹ,2024,32772673.0,2025-04-12
X26,Tổng tài sản lưu động ngắn hạn,2021,552481473.0,2025-04-12
X26,Tổng tài sản lưu động ngắn hạn,2022,468480407.0,2025-04-12
X26,Tổng tài sản lưu động ngắn hạn,2023,546177393.0,2025-04-12
X26,Tổng tài sản lưu động ngắn hạn,2024,579896880.0,2025-04-12
X26,Tổng tài sản,2021,619962622.0,2025-04-12
X26,Tổng tài sản,2022,643819312.0,2025-04-12
X26,Tổng tài sản,2023,711883301.0,2025-04-12
X26,Tổng tài sản,2024,722657147.0,2025-04-12
X26,Nợ ngắn hạn,2021,437788924.0,2025-04-12
X26,Nợ ngắn hạn,2022,321058597.0,2025-04-12
X26,Nợ ngắn hạn,2023,388317377.0,2025-04-12
X26,Nợ ngắn hạn,2024,384600941.0,2025-04-12
X26,Tổng nợ,2021,437788924.0,2025-04-12
X26,Tổng nợ,2022,321058597.0,2025-04-12
X26,Tổng nợ,2023,388317377.0,2025-04-12
X26,Tổng nợ,2024,384600941.0,2025-04-12
X26,Vốn chủ sở hữu,2021,182173697.0,2025-04-12
X26,Vốn chủ sở hữu,2022,322760716.0,2025-04-12
X26,Vốn chủ sở hữu,2023,323565924.0,2025-04-12
X26,Vốn chủ sở hữu,2024,338056206.0,2025-04-12
