symbol,metric,year,value,crawled_date
XDH,Doanh thu bán hàng và CCDV,2020,828345795.0,2025-04-12
XDH,Doanh thu bán hàng và CCDV,2021,529248184.0,2025-04-12
XDH,Doanh thu bán hàng và CCDV,2022,378296392.0,2025-04-12
XDH,Doanh thu bán hàng và CCDV,2023,171508249.0,2025-04-12
XDH,Giá vốn hàng bán,2020,583921882.0,2025-04-12
XDH,Giá vốn hàng bán,2021,342162508.0,2025-04-12
XDH,Giá vốn hàng bán,2022,257594332.0,2025-04-12
XDH,Giá vốn hàng bán,2023,150848907.0,2025-04-12
XDH,Lợi nhuận gộp về BH và CCDV,2020,244423912.0,2025-04-12
XDH,Lợi nhuận gộp về BH và CCDV,2021,187085677.0,2025-04-12
XDH,Lợi nhuận gộp về BH và CCDV,2022,120702061.0,2025-04-12
XDH,Lợi nhuận gộp về BH và CCDV,2023,20659342.0,2025-04-12
XDH,Lợi nhuận tài chính,2020,8961715.0,2025-04-12
XDH,Lợi nhuận tài chính,2021,5299869.0,2025-04-12
XDH,Lợi nhuận tài chính,2022,10267238.0,2025-04-12
XDH,Lợi nhuận tài chính,2023,10840883.0,2025-04-12
XDH,Lợi nhuận khác,2020,-3584907.0,2025-04-12
XDH,Lợi nhuận khác,2021,-434298.0,2025-04-12
XDH,Lợi nhuận khác,2022,-4657697.0,2025-04-12
XDH,Lợi nhuận khác,2023,16228966.0,2025-04-12
XDH,Tổng lợi nhuận trước thuế,2020,216293504.0,2025-04-12
XDH,Tổng lợi nhuận trước thuế,2021,160470248.0,2025-04-12
XDH,Tổng lợi nhuận trước thuế,2022,93335489.0,2025-04-12
XDH,Tổng lợi nhuận trước thuế,2023,28110010.0,2025-04-12
XDH,Lợi nhuận sau thuế,2020,172306934.0,2025-04-12
XDH,Lợi nhuận sau thuế,2021,127943716.0,2025-04-12
XDH,Lợi nhuận sau thuế,2022,73525665.0,2025-04-12
XDH,Lợi nhuận sau thuế,2023,21500897.0,2025-04-12
XDH,Lợi nhuận sau thuế của công ty mẹ,2020,172306934.0,2025-04-12
XDH,Lợi nhuận sau thuế của công ty mẹ,2021,127943716.0,2025-04-12
XDH,Lợi nhuận sau thuế của công ty mẹ,2022,73525665.0,2025-04-12
XDH,Lợi nhuận sau thuế của công ty mẹ,2023,21500897.0,2025-04-12
XDH,Tổng tài sản lưu động ngắn hạn,2020,857886149.0,2025-04-12
XDH,Tổng tài sản lưu động ngắn hạn,2021,666092494.0,2025-04-12
XDH,Tổng tài sản lưu động ngắn hạn,2022,550519190.0,2025-04-12
XDH,Tổng tài sản lưu động ngắn hạn,2023,469014423.0,2025-04-12
XDH,Tổng tài sản,2020,1273917103.0,2025-04-12
XDH,Tổng tài sản,2021,1117963912.0,2025-04-12
XDH,Tổng tài sản,2022,955954700.0,2025-04-12
XDH,Tổng tài sản,2023,863260452.0,2025-04-12
XDH,Nợ ngắn hạn,2020,484512222.0,2025-04-12
XDH,Nợ ngắn hạn,2021,380252365.0,2025-04-12
XDH,Nợ ngắn hạn,2022,319732025.0,2025-04-12
XDH,Nợ ngắn hạn,2023,250865978.0,2025-04-12
XDH,Tổng nợ,2020,817684473.0,2025-04-12
XDH,Tổng nợ,2021,593879370.0,2025-04-12
XDH,Tổng nợ,2022,378709940.0,2025-04-12
XDH,Tổng nợ,2023,309673055.0,2025-04-12
XDH,Vốn chủ sở hữu,2020,456232630.0,2025-04-12
XDH,Vốn chủ sở hữu,2021,524084542.0,2025-04-12
XDH,Vốn chủ sở hữu,2022,577244760.0,2025-04-12
XDH,Vốn chủ sở hữu,2023,553587396.0,2025-04-12
