,2021,2022,2023,2024
cost_of_goods_sold,101864617.0,145001204.0,38491470.0,31689832.0
current_assets,363074829.0,306303361.0,270287279.0,300182254.0
current_liabilities,136799243.0,39363658.0,45047590.0,58911780.0
equity,226416428.0,245085837.0,210655901.0,210437107.0
financial_profit,15930765.0,14578233.0,23022202.0,12372694.0
gross_profit,70041182.0,87288474.0,36031391.0,41299973.0
net_income,60333386.0,64658858.0,28766332.0,26578738.0
other_profit,6687605.0,6949334.0,-268300.0,315817.0
profit_before_tax,68573192.0,82756818.0,36589182.0,33865002.0
revenue,171905798.0,232289678.0,74522861.0,72989805.0
total_assets,828373197.0,767757105.0,724830592.0,724328064.0
total_debt,601956769.0,522671268.0,514174691.0,513890957.0
roa,0.07283358058722897,0.08421785689629013,0.039686972814745654,0.03669433689096989
roe,0.2664708852309957,0.26382127499272834,0.1365560227054831,0.12630252515303778
debt_ratio,0.7266734017711102,0.6807768558520861,0.7093722266623095,0.7094726582345979
current_ratio,2.654070454176417,7.781374408851941,6.000038603618973,5.0954538124633135
gross_margin,0.4074393232507492,0.37577422617977885,0.48349446755674075,0.5658320775072628
net_profit_margin,0.3509677201230874,0.27835441745284956,0.3860068120573095,0.3641431567052412
revenue_growth,0.0,0.3512614507627021,-0.6791813495905745,-0.02057162029783044
