,2021,2022,2023,2024
cost_of_goods_sold,94573396.0,101228972.0,103637333.0,110338587.0
current_assets,117819970.0,111896652.0,94449019.0,86026534.0
current_liabilities,34544833.0,34543866.0,40706043.0,37581822.0
equity,190688787.0,191451409.0,192335651.0,192728738.0
financial_profit,3595758.0,3855938.0,3868190.0,1297310.0
gross_profit,52662846.0,57756401.0,67172333.0,69642411.0
net_income,10374804.0,10676551.0,11716429.0,11487759.0
other_profit,1880544.0,610436.0,644068.0,-191754.0
profit_before_tax,12063726.0,13446548.0,15311753.0,14889167.0
revenue,147398669.0,159022395.0,170833094.0,180000140.0
total_assets,225233620.0,225995275.0,233041694.0,230310559.0
total_debt,34544833.0,34543866.0,40706043.0,37581822.0
roa,0.04606241288489702,0.04724236380605745,0.05027610638635334,0.04987942823759114
roe,0.05440699562476109,0.055766374641828834,0.06091657443164294,0.059605843525006634
debt_ratio,0.1533733418661033,0.15285216029405924,0.17467279052648838,0.16317889272284733
current_ratio,3.410639443531251,3.239262565458076,2.3202702114769544,2.2890463905661624
gross_margin,0.35728169295748524,0.3631966491260555,0.39320445135765086,0.38690198240956925
net_profit_margin,0.07038600870948163,0.06713866307949896,0.06858407071875663,0.06382083369490713
revenue_growth,0.0,0.07885909743187702,0.07427066483308842,0.05366083225068796
