,2021,2022,2023,2024
cost_of_goods_sold,28579868.0,27857039.0,47421957.0,48180753.0
current_assets,13714215.0,15366647.0,19258298.0,23113379.0
current_liabilities,5049822.0,11096251.0,14146633.0,15951424.0
equity,42013804.0,31606299.0,26891128.0,26776849.0
financial_profit,235429.0,68420.0,71997.0,195449.0
gross_profit,-3778815.0,-2923786.0,3436273.0,7659763.0
net_income,-9982610.0,-10256704.0,-4580877.0,20016.0
other_profit,-55961.0,46536.0,-16591.0,-28533.0
profit_before_tax,-9982610.0,-10256704.0,-4580877.0,20016.0
revenue,24801053.0,24933253.0,50858230.0,55840515.0
total_assets,47265566.0,42877630.0,41186141.0,42907653.0
total_debt,5251762.0,11271331.0,14295013.0,16130804.0
roa,-0.21120259090941595,-0.23920874358027716,-0.11122374878481575,0.00046649020863480926
roe,-0.23760309825789638,-0.32451455325408396,-0.170349008788326,0.000747511404347838
debt_ratio,0.11111179753988347,0.26287206172542654,0.34708308797369486,0.37594235228852996
current_ratio,2.7157818632023067,1.3848503426968262,1.361334389603519,1.4489853068917233
gross_margin,-0.152365103207513,-0.11726452220253811,0.0675657214181461,0.13717214105206588
net_profit_margin,-0.4025075064353114,-0.4113664590817733,-0.09007149875251262,0.00035844941616315683
revenue_growth,0.0,0.00533041883342622,1.0397751548905392,0.0979641839678651
