,2020,2021,2022,2023
cost_of_goods_sold,114162267.0,68610618.0,103070133.0,76260411.0
current_assets,214395150.0,156816904.0,270260164.0,271227490.0
current_liabilities,77849228.0,61135292.0,11610115.0,12791279.0
equity,317485435.0,257528693.0,323563659.0,326069609.0
financial_profit,-450663.0,2412138.0,82244111.0,13400238.0
gross_profit,-13517381.0,-27015944.0,3077398.0,18006878.0
net_income,-46994680.0,-50406992.0,59489119.0,5487668.0
other_profit,-170459.0,160643.0,51448.0,105225.0
profit_before_tax,-43929818.0,-51989536.0,61381579.0,6055820.0
revenue,100998196.0,41594694.0,106304364.0,94267289.0
total_assets,408256938.0,331572837.0,336823698.0,340003711.0
total_debt,90771503.0,74044144.0,13260038.0,13934102.0
roa,-0.1151105483478642,-0.15202388849482262,0.17661797359638276,0.01614002383638689
roe,-0.1480215304995015,-0.19573349832517498,0.18385599663403485,0.016829743859998924
debt_ratio,0.22233915593615705,0.22331185108507545,0.03936788913231396,0.04098220563245558
current_ratio,2.753979140294108,2.565079823287668,23.27799199232738,21.204094602267684
gross_margin,-0.1338378459749915,-0.6495045738285753,0.02894893383680843,0.19101936834101593
net_profit_margin,-0.4653021723279097,-1.2118611090154912,0.55961125923297,0.058213915539673575
revenue_growth,0.0,-0.5881639905726632,1.5557193424719027,-0.11323218113604439
