,2021,2022,2023,2024
cost_of_goods_sold,2849127825.0,3890183083.0,2847125724.0,3232970474.0
current_assets,829603569.0,1035551933.0,961005007.0,1125717238.0
current_liabilities,578883646.0,639710952.0,529158871.0,714563561.0
equity,521739109.0,567377179.0,602635236.0,630965803.0
financial_profit,3834709.0,4273039.0,5374174.0,543652.0
gross_profit,208616058.0,295233817.0,264882327.0,284150090.0
net_income,82295063.0,117610814.0,110268725.0,90989398.0
other_profit,-1608850.0,-390386.0,16278235.0,69836.0
profit_before_tax,107594673.0,153896960.0,138435304.0,113792353.0
revenue,3057743883.0,4185416900.0,3112008051.0,3517120564.0
total_assets,1122618737.0,1273280118.0,1158577335.0,1365731303.0
total_debt,600879628.0,705902939.0,555942099.0,734765500.0
roa,0.07330633302978623,0.09236837388518777,0.09517597286675732,0.06662320604362687
roe,0.15773221056349832,0.20728858747418885,0.1829775599115482,0.1442065442649671
debt_ratio,0.5352481730402474,0.5543972053131517,0.47984893386508376,0.5380015076069469
current_ratio,1.4331093557961732,1.6187809975152654,1.8160992088895738,1.5753913289737427
gross_margin,0.06822548453447433,0.0705386880336819,0.08511620878194187,0.08079054579716705
net_profit_margin,0.02691365469081048,0.02810014314225185,0.035433303254008834,0.025870423360329253
revenue_growth,0.0,0.3687925019716245,-0.25646402130215507,0.1301772059586488
