,2021,2022,2023,2024
cost_of_goods_sold,223190699.0,87702229.0,15846619.0,90285260.0
current_assets,254063557.0,237582862.0,253332286.0,269172081.0
current_liabilities,178115644.0,136227746.0,144978229.0,154970594.0
equity,166329473.0,183359787.0,186074677.0,189082079.0
financial_profit,-442243.0,-4203591.0,-2365176.0,-434306.0
gross_profit,75314836.0,46210037.0,19029879.0,16008622.0
net_income,45431391.0,21812722.0,4740118.0,3896943.0
other_profit,42884.0,-16480.0,70761.0,4145911.0
profit_before_tax,56697517.0,27321766.0,5739162.0,4811646.0
revenue,298505534.0,133912266.0,34876498.0,106293882.0
total_assets,365719594.0,344972502.0,351003027.0,364566989.0
total_debt,199390121.0,161612715.0,164928350.0,175484910.0
roa,0.12422465666414362,0.06323032089090973,0.0135044932247835,0.010689237143190713
roe,0.27314095439958497,0.11896131838329416,0.025474277727753358,0.02060979560098871
debt_ratio,0.5451994486245656,0.46847999206615026,0.4698772868417457,0.4813516179326922
current_ratio,1.426396644867421,1.7440122807287732,1.7473815740982737,1.7369235933883043
gross_margin,0.2523063307764338,0.34507695508639963,0.5456361759715669,0.15060718170026005
net_profit_margin,0.15219614320450087,0.16288815544350507,0.13591152414442528,0.03666196893627424
revenue_growth,0.0,-0.5513910103924573,-0.739557106740319,2.0477223372598936
