,2021,2022,2023,2024
cost_of_goods_sold,199384834.0,285695446.0,358569079.0,421213418.0
current_assets,103934994.0,140650882.0,141313121.0,139846227.0
current_liabilities,38311631.0,72989761.0,68349328.0,65954762.0
equity,91289935.0,94455440.0,98053594.0,97285647.0
financial_profit,2307783.0,2055943.0,1194722.0,3274633.0
gross_profit,62246531.0,80835548.0,81240805.0,78792454.0
net_income,13825137.0,14460749.0,14115939.0,11400604.0
other_profit,2944.0,2075.0,365055.0,-101979.0
profit_before_tax,18529378.0,19405781.0,18523322.0,15511897.0
revenue,270645387.0,402975026.0,472121629.0,515447588.0
total_assets,129601566.0,167445202.0,166402922.0,163240409.0
total_debt,38311631.0,72989761.0,68349328.0,65954762.0
roa,0.10667415083549221,0.08636108307241912,0.08482987456193829,0.06983934964289387
roe,0.15144207299523216,0.1530959889658023,0.14396146458435782,0.11718690630694989
debt_ratio,0.2956108647637792,0.4359023736016037,0.41074596033836475,0.4040345304452159
current_ratio,2.712883562696665,1.9269946917623144,2.0675129534558114,2.12033555666534
gross_margin,0.22999295014771487,0.20059691738812618,0.17207600755778973,0.15286220332454054
net_profit_margin,0.05108210841221543,0.03588497566099791,0.029898945807458444,0.022117872438273976
revenue_growth,0.0,0.4889410474230622,0.1715902935384388,0.09176863828875748
