,2020,2021,2022,2023
cost_of_goods_sold,57150311.0,34677939.0,45855963.0,47725816.0
current_assets,49038834.0,40788749.0,68950198.0,84439635.0
current_liabilities,14589899.0,8063378.0,45448503.0,52241960.0
equity,46333247.0,43934761.0,36627169.0,41889621.0
financial_profit,636720.0,497924.0,685187.0,2369774.0
gross_profit,11790453.0,7499847.0,10282149.0,13271666.0
net_income,3085965.0,533180.0,5546086.0,5558560.0
other_profit,-28162.0,108602.0,3892319.0,189343.0
profit_before_tax,3605255.0,627532.0,6947127.0,7003761.0
revenue,68940764.0,42177786.0,56138112.0,60997481.0
total_assets,60923146.0,51998139.0,82075673.0,94131580.0
total_debt,14589899.0,8063378.0,45448503.0,52241960.0
roa,0.050653408476312105,0.010253828507208691,0.06757283610699116,0.059050958243768985
roe,0.06660368525434879,0.012135720961359047,0.15142000191169566,0.13269539965520338
debt_ratio,0.23948039387197764,0.15507051127349,0.5537390232547956,0.554988665865377
current_ratio,3.361149655662455,5.058518774637627,1.5171060309731215,1.6163182813202261
gross_margin,0.17102295240012136,0.17781509441960752,0.18315808340686626,0.2175772799535771
net_profit_margin,0.044762558767117815,0.012641251487216518,0.09879359676363893,0.0911276975519694
revenue_growth,0.0,-0.3882025154232407,0.33098764359039623,0.08656096236367916
