,2021,2022,2023,2024
cost_of_goods_sold,1473822946.0,1102091021.0,879498227.0,1302659853.0
current_assets,480339007.0,592584309.0,641075714.0,1080165523.0
current_liabilities,338185959.0,471649532.0,528124718.0,966518479.0
equity,192599179.0,204866475.0,196138034.0,203762186.0
financial_profit,2236403.0,2503568.0,5747338.0,1971407.0
gross_profit,72476289.0,82004066.0,63906016.0,89998857.0
net_income,14915847.0,12267295.0,1111199.0,7624152.0
other_profit,1436348.0,1252647.0,1236317.0,6954489.0
profit_before_tax,18718962.0,15628244.0,2210917.0,9663267.0
revenue,1549225115.0,1187916092.0,945551092.0,1394654214.0
total_assets,532914838.0,678625163.0,727180177.0,1172762265.0
total_debt,340315659.0,473758689.0,531042143.0,969000079.0
roa,0.02798917563635186,0.018076687498250046,0.001528093084968679,0.006501020903840217
roe,0.0774450186000014,0.059879465393251875,0.005665392771296973,0.037416913067471705
debt_ratio,0.6385929509435052,0.698115417509209,0.7302758790686892,0.8262544830430744
current_ratio,1.4203398876178652,1.2564081352676928,1.213871822602327,1.1175839329193002
gross_margin,0.04678228379998862,0.06903186727771005,0.0675859998901043,0.06453130539209054
net_profit_margin,0.009627940352619446,0.010326735265742995,0.0011751866286248231,0.005466696994470918
revenue_growth,0.0,-0.2332191877743991,-0.20402535299605995,0.47496441577796844
