,2021,2022,2023,2024
cost_of_goods_sold,51725767.0,56928187.0,56179991.0,49267049.0
current_assets,69348397.0,65280789.0,79365975.0,85500330.0
current_liabilities,16186098.0,7215181.0,15829700.0,12833847.0
equity,76828874.0,80807508.0,82710985.0,91828967.0
financial_profit,1147018.0,1227822.0,3944890.0,2591683.0
gross_profit,28790582.0,31907294.0,33788725.0,36381943.0
net_income,11208066.0,12885894.0,15355877.0,16081883.0
other_profit,-62407.0,-8884.0,24970.0,284454.0
profit_before_tax,14271593.0,16547116.0,19691637.0,20284454.0
revenue,80543847.0,88835481.0,89968717.0,85648993.0
total_assets,93014972.0,88022689.0,98540685.0,104662814.0
total_debt,16186098.0,7215181.0,15829700.0,12833847.0
roa,0.1204974399175221,0.14639286922943243,0.15583286233498378,0.1536542195397116
roe,0.14588351249297238,0.15946406861105034,0.1856570442245368,0.17512864976473055
debt_ratio,0.17401604980325103,0.08196955900767812,0.1606412620330374,0.12262088615351006
current_ratio,4.284441932824081,9.04769942708298,5.013738415762775,6.662096719713115
gross_margin,0.35745228310239513,0.35917286247372265,0.3755608185454062,0.4247795768013291
net_profit_margin,0.13915483823363936,0.14505346124033483,0.17068018209040373,0.18776499800762397
revenue_growth,0.0,0.10294559185880447,0.012756569641357629,-0.048013622334972306
