,2021,2022,2023,2024
cost_of_goods_sold,22090165.0,40561927.0,37527706.0,38984956.0
current_assets,3567183.0,5173421.0,3604661.0,4005187.0
current_liabilities,52448027.0,60267730.0,67712576.0,99046974.0
equity,34320586.0,24540891.0,17106928.0,6645060.0
financial_profit,-5972519.0,-8206246.0,-8157183.0,-7497937.0
gross_profit,-3188458.0,6631561.0,6851813.0,7183860.0
net_income,-15815223.0,-9779696.0,-8476687.0,-10461868.0
other_profit,-1825330.0,71260.0,1764078.0,-1148008.0
profit_before_tax,-15815223.0,-9779696.0,-8476687.0,-10461868.0
revenue,18901706.0,47193487.0,44379519.0,46168816.0
total_assets,133273397.0,125713403.0,119493288.0,116394317.0
total_debt,98952810.0,101172513.0,102386359.0,109749257.0
roa,-0.11866751621855935,-0.07779358259834872,-0.07093860368123772,-0.08988297942415865
roe,-0.460808652859249,-0.3985061504083124,-0.4955119352814252,-1.574382774572389
debt_ratio,0.7424798363922547,0.804787004294204,0.8568377413800848,0.9429090683181722
current_ratio,0.06801367380321094,0.08584064805493753,0.053234734416247875,0.04043724748218961
gross_margin,-0.16868625509252974,0.14051856350432423,0.15439133082988124,0.15559983171324993
net_profit_margin,-0.8367087605743101,-0.20722554364334214,-0.19100448114365548,-0.2266003096115785
revenue_growth,0.0,1.4967845230478138,-0.059626193758473445,0.040318080058506345
