,2021,2022,2023,2024
cost_of_goods_sold,302808689.0,332427853.0,225286623.0,209486581.0
current_assets,125030211.0,127753490.0,120194763.0,119074824.0
current_liabilities,11102902.0,15411209.0,14987076.0,14755073.0
equity,115299632.0,114054196.0,106430489.0,105257969.0
financial_profit,3470172.0,4320914.0,7007455.0,4736003.0
gross_profit,33699190.0,37442475.0,11042780.0,10468611.0
net_income,14728378.0,17820894.0,4717293.0,3939479.0
other_profit,35319.0,-97501.0,2036.0,30191.0
profit_before_tax,18427472.0,22343867.0,5920617.0,4951849.0
revenue,336507879.0,369870328.0,236329402.0,219955192.0
total_assets,126402534.0,129465405.0,121417565.0,120013041.0
total_debt,11102902.0,15411209.0,14987076.0,14755073.0
roa,0.11651964192426711,0.13764985325616522,0.038851816868506625,0.032825424363673944
roe,0.1277400260913235,0.15624935008967142,0.04432275980616795,0.03742689544009727
debt_ratio,0.08783765363438047,0.11903727486118781,0.12343416704164674,0.12294558055569978
current_ratio,11.26103887073848,8.289647489694028,8.019894140791706,8.070093858566475
gross_margin,0.1001438364538264,0.10123135641202341,0.046726221564255474,0.04759428911321175
net_profit_margin,0.043768300593044956,0.04818146428874932,0.01996066913417739,0.017910370581295486
revenue_growth,0.0,0.09914314368847221,-0.36104795624481667,-0.06928553900373347
