,2021,2022,2023,2024
cost_of_goods_sold,355200410.0,293484693.0,284218804.0,281492628.0
current_assets,194451375.0,165145646.0,180145228.0,222807571.0
current_liabilities,173477215.0,109203293.0,105239079.0,138475202.0
equity,711302946.0,571170321.0,537251540.0,590594598.0
financial_profit,-52049142.0,-39284095.0,-1461484.0,16275674.0
gross_profit,230450034.0,203331265.0,159289881.0,189578992.0
net_income,84090895.0,80366738.0,73657842.0,110402881.0
other_profit,-8451061.0,-831378.0,-2882826.0,-1414555.0
profit_before_tax,116300088.0,105595016.0,93739050.0,139676389.0
revenue,585739313.0,496834552.0,443718005.0,471071620.0
total_assets,1026913504.0,765860567.0,642490619.0,729069800.0
total_debt,315610558.0,194690246.0,105239079.0,138475202.0
roa,0.08188702814059011,0.10493651385500828,0.11464422953699188,0.15142978216900493
roe,0.11822092889237099,0.14070538164394575,0.137101220780121,0.18693513515678992
debt_ratio,0.3073389888930704,0.2542110853972196,0.16379862349398755,0.1899340803857189
current_ratio,1.1209044081091573,1.5122771618251476,1.7117712328136205,1.6090070119558302
gross_margin,0.39343446629814993,0.4092534711635756,0.35898899572488613,0.40244197262403536
net_profit_margin,0.14356368632542169,0.16175754620222146,0.1660014720385304,0.23436538376054156
revenue_growth,0.0,-0.15178213076505587,-0.10690992964595591,0.06164639408761419
