,2021,2022,2023,2024
cost_of_goods_sold,289207386.0,274417319.0,321626728.0,367428860.0
current_assets,1170116889.0,1217425345.0,1246938787.0,1291745252.0
current_liabilities,126441418.0,114985215.0,259763125.0,150211677.0
equity,1372953415.0,1382833770.0,1376012878.0,1488937700.0
financial_profit,82160367.0,97944185.0,156213249.0,127942949.0
gross_profit,319368729.0,310506295.0,227585370.0,326912996.0
net_income,277126800.0,283380355.0,330679108.0,336224822.0
other_profit,-1576350.0,-784094.0,84470761.0,25865924.0
profit_before_tax,339299823.0,345055519.0,398456859.0,403034350.0
revenue,608576114.0,584923615.0,549212098.0,694341856.0
total_assets,1499394833.0,1497818986.0,1635776002.0,1639149377.0
total_debt,126441418.0,114985215.0,259763125.0,150211677.0
roa,0.1848257669699466,0.18919532844004155,0.20215427270952224,0.205121526273197
roe,0.20184719814400987,0.20492727408587946,0.24031687005766525,0.22581523860937902
debt_ratio,0.08432830046974024,0.07676843201665759,0.15880115901101233,0.09164001713798657
current_ratio,9.254221500426388,10.587668553735366,4.800291754266508,8.599499571527984
gross_margin,0.5247802561636522,0.5308493058533805,0.4143852089725817,0.4708242678661158
net_profit_margin,0.4553691701413046,0.4844741223176636,0.6020972757231579,0.48423527847930864
revenue_growth,0.0,-0.03886530945905642,-0.061053300096286955,0.2642508395727292
