,2021,2022,2023,2024
cost_of_goods_sold,218803020.0,161337254.0,1031278346.0,1302072826.0
current_assets,229916496.0,246504062.0,718967514.0,415068818.0
current_liabilities,186990092.0,207617469.0,683707252.0,367918125.0
equity,51412528.0,51435879.0,53730817.0,55863566.0
financial_profit,-1361146.0,-1469416.0,1029081.0,-2787372.0
gross_profit,13663099.0,12291475.0,29306349.0,44638847.0
net_income,1312528.0,1235879.0,3530817.0,5402566.0
other_profit,958384.0,636039.0,6306059.0,488067.0
profit_before_tax,1801069.0,1752652.0,4433180.0,6775217.0
revenue,233293059.0,174329931.0,1060620170.0,1346711673.0
total_assets,245615592.0,259437857.0,737653227.0,423965633.0
total_debt,194203064.0,208001978.0,683922410.0,368102067.0
roa,0.005343830126224234,0.004763680267371311,0.004786553994157474,0.012742933812279072
roe,0.025529341797781272,0.024027566438594352,0.0657130711412782,0.09671000952570769
debt_ratio,0.7906788914280328,0.8017410427499793,0.9271597885926418,0.8682356265419278
current_ratio,1.2295651258356513,1.1872992344396607,1.0515721632275445,1.1281553959865391
gross_margin,0.058566247356720544,0.07050696876602332,0.027631332902145356,0.03314655088758557
net_profit_margin,0.00562609108743351,0.0070893104409018555,0.0033290117422526484,0.004011672363368607
revenue_growth,0.0,-0.25274274448088063,5.083982044368502,0.2697398287268098
