,2021,2022,2023,2024
cost_of_goods_sold,32597922.0,24362036.0,30965180.0,34762675.0
current_assets,31011695.0,27004031.0,27365931.0,21897505.0
current_liabilities,23894716.0,26637907.0,30907261.0,27204731.0
equity,66660326.0,55109168.0,44225864.0,39273412.0
financial_profit,-2018712.0,-2257771.0,-2151976.0,-1759252.0
gross_profit,-8818774.0,29502.0,-813778.0,2776432.0
net_income,-19237261.0,-11551158.0,-10883304.0,-4952452.0
other_profit,-2815350.0,-1598086.0,-3138283.0,-559239.0
profit_before_tax,-19237261.0,-11551158.0,-10883304.0,-4952452.0
revenue,23779148.0,24391538.0,30151402.0,37539107.0
total_assets,94755042.0,84547076.0,76533125.0,66478143.0
total_debt,28094716.0,29437907.0,32307261.0,27204731.0
roa,-0.20302097486274134,-0.13662397975773877,-0.1422038365740325,-0.07449744798075963
roe,-0.28858636244893254,-0.2096050152671512,-0.24608459882208295,-0.12610190324181664
debt_ratio,0.29649837525268574,0.34818362021177407,0.4221343503221644,0.40922820302005125
current_ratio,1.297847398562929,1.0137444732425862,0.8854207753964352,0.8049153288815831
gross_margin,-0.3708616473559103,0.0012095178254032197,-0.026989723396610214,0.07396105613274179
net_profit_margin,-0.8089970675147823,-0.47357235119819013,-0.36095515558447333,-0.13192780531513443
revenue_growth,0.0,0.02575323556588316,0.23614189478334668,0.24502028131229192
