,2020,2021,2022,2023
cost_of_goods_sold,721409221.0,932852589.0,1240041610.0,1041676762.0
current_assets,523269140.0,1381440372.0,1278544163.0,2719632459.0
current_liabilities,239916474.0,349036173.0,64830740.0,448397742.0
equity,742968560.0,1566065164.0,2598547515.0,2629310516.0
financial_profit,-520087.0,4047237.0,5975979.0,10785069.0
gross_profit,47066281.0,35520338.0,37636302.0,48092708.0
net_income,19384246.0,23837531.0,25810751.0,31435352.0
other_profit,-291315.0,-148422.0,-2418634.0,-1355021.0
profit_before_tax,24213068.0,29784596.0,33141336.0,40526631.0
revenue,768475502.0,968372927.0,1277677912.0,1090134190.0
total_assets,1028914111.0,2030455685.0,2663732603.0,3601142362.0
total_debt,285945551.0,464390521.0,65185088.0,971831846.0
roa,0.01883951808296271,0.011739990769608941,0.009689692940999754,0.008729272225311708
roe,0.02609026416945557,0.015221289348595714,0.009932760840819184,0.011955739654448634
debt_ratio,0.27791002955736505,0.22871246313361426,0.0244713331685718,0.2698676554015112
current_ratio,2.18104714226502,3.957871644438412,19.721264372425797,6.065223359220217
gross_margin,0.061246299820238125,0.036680432723415035,0.02945679943788525,0.044116319294599866
net_profit_margin,0.02522428619982215,0.024616065087494955,0.0202012970229699,0.028836222447073238
revenue_growth,0.0,0.2601220526610879,0.31940689002760614,-0.14678481974101776
