,2021,2022,2023,2024
cost_of_goods_sold,1240906758.0,1372947713.0,1100229549.0,1181403033.0
current_assets,1165141589.0,1236495469.0,1314147406.0,1392183465.0
current_liabilities,1096385414.0,1019192638.0,1078153353.0,1112376719.0
equity,1593358725.0,1629711037.0,1591782764.0,1550928461.0
financial_profit,-37396636.0,-27137026.0,-29472900.0,-16386459.0
gross_profit,219940572.0,262599637.0,225181829.0,187776176.0
net_income,97971987.0,114894586.0,55608659.0,82518091.0
other_profit,3855090.0,-853552.0,-1608537.0,-3400876.0
profit_before_tax,123211969.0,134001310.0,74174499.0,94946190.0
revenue,1500558028.0,1675898484.0,1347408534.0,1380301050.0
total_assets,2764838962.0,2714445628.0,2735554700.0,2730966375.0
total_debt,1171480236.0,1084734591.0,1143771934.0,1180037914.0
roa,0.0354349704798467,0.04232709059074216,0.02032811078498997,0.030215711096040133
roe,0.06148771488981554,0.0704999741619839,0.03493482921014968,0.053205607528018665
debt_ratio,0.4237064986788912,0.3996155162626083,0.4181133479070991,0.43209536550958083
current_ratio,1.062711683429966,1.213210754177367,1.2188872782738542,1.251539555998205
gross_margin,0.14657252028643306,0.15669185186756215,0.16712216326217808,0.1360400153285401
net_profit_margin,0.06529036876406621,0.06855700813439007,0.04127082291435153,0.05978267639512409
revenue_growth,0.0,0.11685016689004701,-0.19600826251478365,0.024411687450392794
