,2010,2011,2012,2013
cost_of_goods_sold,2449992119.0,3228403895.0,3256323616.0,3561099595.0
current_assets,1938803832.0,2820121046.0,2876192735.0,3090776864.0
current_liabilities,1219870512.0,1672446789.0,1977656538.0,2154966942.0
equity,784915775.0,1188584568.0,1054236424.0,1100755865.0
financial_profit,-5325072.0,-9294294.0,6796393.0,-256147.0
gross_profit,794277725.0,1005007685.0,788512838.0,918471093.0
net_income,396663831.0,473867467.0,384139130.0,372814796.0
other_profit,16583650.0,19312190.0,8942761.0,20986667.0
profit_before_tax,483970719.0,578825060.0,482837905.0,458953333.0
revenue,3246543084.0,4234357405.0,4046023068.0,4480252717.0
total_assets,2054644940.0,2951036248.0,3082712616.0,3305290943.0
total_debt,1220725335.0,1713420042.0,1979432347.0,2155239098.0
roa,0.1930571181802341,0.16057663382520404,0.12461074963855794,0.11279333723693927
roe,0.5053584647346399,0.39868216343862206,0.3643766438485339,0.3386898111144745
debt_ratio,0.5941295798776794,0.5806163998023517,0.6421073235066684,0.6520573030233242
current_ratio,1.5893521590429263,1.686224676652478,1.4543439064038328,1.4342572054174927
gross_margin,0.24465337574432755,0.2373459745776939,0.19488589776868767,0.20500430467123582
net_profit_margin,0.12218036869890497,0.11191012512086235,0.09494239739712725,0.08321289434977201
revenue_growth,0.0,0.30426650607788464,-0.0444776666177521,0.10732258360915514
