,2020,2021,2022,2023
cost_of_goods_sold,0.0,10197005.0,4844991.0,9879702.0
current_assets,1725390.0,1294898.0,7295143.0,2228736.0
current_liabilities,20911634.0,26351666.0,25883188.0,24348225.0
equity,30909572.0,14779276.0,5741507.0,-8159800.0
financial_profit,2674.0,110.0,-2019130.0,-1453994.0
gross_profit,0.0,-10197005.0,-4844991.0,-1745790.0
net_income,-15450704.0,-16130296.0,-9037769.0,-13901307.0
other_profit,-12376529.0,-182620.0,-5000.0,0.0
profit_before_tax,-15450704.0,-16130296.0,-9037769.0,-13901307.0
total_assets,51821207.0,41130942.0,31624695.0,16188425.0
total_debt,20911634.0,26351666.0,25883188.0,24348225.0
roa,-0.29815407425766827,-0.392169379441881,-0.28578201307554113,-0.8587189303468373
roe,-0.499867937349634,-1.0914131382349177,-1.574110943346407,1.7036332998357804
debt_ratio,0.4035342905077452,0.6406774247961546,0.8184486206112027,1.5040515059371125
current_ratio,0.08250861697369034,0.049139132227920615,0.2818487042631688,0.09153587171138759
