,2021,2022,2023,2024
cost_of_goods_sold,2064489231.0,2180183031.0,2067811109.0,2696544402.0
current_assets,1689479334.0,2618727023.0,3380201263.0,6673567765.0
current_liabilities,2262720711.0,3210578780.0,1915337161.0,2100758452.0
equity,7044618372.0,7947756020.0,9732374052.0,13771926003.0
financial_profit,-68316645.0,-141743606.0,1786266380.0,275834008.0
gross_profit,1141800935.0,1718060577.0,1778015187.0,2135480397.0
net_income,720561816.0,1161293797.0,2533934246.0,1923583483.0
other_profit,-55255064.0,-373646.0,-29542673.0,-319993719.0
profit_before_tax,806212155.0,1308477950.0,3147487213.0,2098590310.0
revenue,3206290165.0,3898243609.0,3845826297.0,4832024799.0
total_assets,10731211063.0,13030653010.0,13546025168.0,17997853313.0
total_debt,3686592691.0,5082896990.0,3813651116.0,4225927310.0
roa,0.06714636509987354,0.08912015354171418,0.18706109095278775,0.10687849542648398
roe,0.10228542952219981,0.1461159343691076,0.2603613704591715,0.13967425344726492
debt_ratio,0.34353929573810676,0.39007231533978204,0.28153285326894645,0.23480174199150614
current_ratio,0.7466583594637898,0.8156557438531379,1.7648074353839573,3.176742075533013
gross_margin,0.3561127896233309,0.4407268373463009,0.4623233213593058,0.4419431782390569
net_profit_margin,0.22473381350998217,0.2979018023190967,0.6588790159286801,0.3980905651390884
revenue_growth,0.0,0.21581123616115394,-0.013446392082573366,0.25643344910541077
