,2021,2022,2023,2024
cost_of_goods_sold,2201446757.0,2968647430.0,2758042784.0,2410675441.0
current_assets,5649681239.0,6265914137.0,5478439760.0,5064202899.0
current_liabilities,4515481236.0,4749666369.0,4792552957.0,4646855908.0
equity,1627178944.0,1634244428.0,1617106504.0,1636870870.0
financial_profit,-19277335.0,-9182325.0,-37572806.0,-25629646.0
gross_profit,212069995.0,248675981.0,208311149.0,186800499.0
net_income,35504183.0,67300347.0,47005430.0,66477702.0
other_profit,-15106653.0,-15526043.0,-236877.0,26969619.0
profit_before_tax,66587914.0,104755122.0,70602302.0,102293785.0
revenue,2413734416.0,3217509860.0,2967066545.0,2597545415.0
total_assets,7019009598.0,7592343538.0,6770622162.0,6430485978.0
total_debt,5391830654.0,5958099111.0,5153515658.0,4793615108.0
roa,0.005058289564116934,0.00886423890899548,0.006942556957884486,0.010337897046573733
roe,0.021819470520385496,0.041181322602006756,0.029067615450021095,0.04061267337477879
debt_ratio,0.7681754211500652,0.7847509904128366,0.7611583595557906,0.7454514517876148
current_ratio,1.2511803158337829,1.3192324787054954,1.1431151223896638,1.0898127678720353
gross_margin,0.08785970552279684,0.07728833533395917,0.07020777789801813,0.0719142379268083
net_profit_margin,0.014709233445341901,0.02091690466490132,0.015842391563213154,0.02559250807170199
revenue_growth,0.0,0.33300078031451497,-0.07783762160716423,-0.12454089734613616
