,2021,2022,2023,2024
cost_of_goods_sold,756786821.0,831126474.0,710660313.0,657488720.0
current_assets,468486403.0,465826786.0,530335218.0,411872860.0
current_liabilities,494946670.0,464851172.0,509620423.0,392748241.0
equity,134582501.0,143913221.0,149245173.0,151503270.0
financial_profit,-11026196.0,-18249354.0,-12013926.0,-1382112.0
gross_profit,84191192.0,106800421.0,86027026.0,128502178.0
net_income,12292374.0,19382259.0,18879306.0,23353831.0
other_profit,6528887.0,5714416.0,1944108.0,-20724293.0
profit_before_tax,15104436.0,23017715.0,23694397.0,29190425.0
revenue,841046826.0,937926894.0,796724802.0,786188162.0
total_assets,678761508.0,646272924.0,682954589.0,544251511.0
total_debt,544179007.0,502359702.0,533709416.0,392748241.0
roa,0.018110004552585796,0.029990826290596694,0.02764357441047958,0.042909997543396805
roe,0.09133708995347026,0.13468018341414234,0.1264986037437874,0.15414737252865895
debt_ratio,0.8017234339104569,0.7773181938223982,0.7814713080432937,0.7216300424749762
current_ratio,0.9465391554205224,1.002098766355267,1.040647497755403,1.0486943466667238
gross_margin,0.10010285919561868,0.11386859859037159,0.1079758352997777,0.16344964756668517
net_profit_margin,0.014615564341954962,0.02066499971798442,0.023696144456163172,0.029705142011537945
revenue_growth,0.0,0.11518986221107275,-0.15054701267580883,-0.013224942883101054
