,2020,2021,2022,2023
current_assets,12307866990.0,24186710800.0,15262466980.0,17728214114.0
current_liabilities,8048473020.0,17043850220.0,7555122710.0,9598589845.0
equity,4440354530.0,7325252920.0,7891832340.0,8312085228.0
financial_profit,1610700.0,2367960.0,2935810.0,2230086.0
net_income,530451690.0,1147062380.0,852487880.0,674358866.0
other_profit,90920.0,87850.0,413150.0,21818.0
revenue,2247905970.0,4460112840.0,3901444790.0,2903163797.0
total_assets,12488827550.0,24369103140.0,15446955050.0,17910675073.0
total_debt,8048473020.0,17043850220.0,7555122710.0,9598589845.0
roa,0.042474098379234965,0.047070356812483005,0.05518808575804071,0.037651225498283036
roe,0.11946156245321249,0.1565901399620206,0.10802153964664687,0.08112992678760825
debt_ratio,0.6444538518749905,0.6994040823777317,0.4891011002197485,0.5359144647467639
current_ratio,1.529217649039221,1.4190872653655602,2.020148125429984,1.846960272319043
net_profit_margin,0.23597592474030396,0.25718236761023294,0.21850568850418103,0.23228412626833264
revenue_growth,0.0,0.9841189531606609,-0.12525872551690864,-0.25587469430779775
