,2021,2022,2023,2024
cost_of_goods_sold,359866402.0,364052959.0,380418988.0,409171669.0
current_assets,57504584.0,68545959.0,70209984.0,68735849.0
current_liabilities,111184527.0,147848229.0,132168216.0,110904733.0
equity,427314849.0,433899693.0,439874024.0,458184847.0
financial_profit,-6518833.0,-10798918.0,-21686483.0,-12262420.0
gross_profit,150732751.0,159138030.0,162843671.0,160267125.0
net_income,51947161.0,52915609.0,44569313.0,46044228.0
other_profit,36380.0,1530084.0,-1346524.0,-74882.0
profit_before_tax,65197440.0,66616912.0,57160023.0,58285041.0
revenue,510599152.0,523190990.0,543262659.0,569438794.0
total_assets,962239871.0,986287596.0,953190669.0,910427227.0
total_debt,534925022.0,552387904.0,513316644.0,452242380.0
roa,0.05398566674026335,0.053651297263197055,0.04675802486270457,0.050574309109496784
roe,0.12156647755528852,0.12195355252302517,0.10132290285002145,0.1004926904533794
debt_ratio,0.5559165007827866,0.5600677796621099,0.5385246212476299,0.49673644041842785
current_ratio,0.5171995200375319,0.4636238084393963,0.5312168547391152,0.6197738107353813
gross_margin,0.2952076015198709,0.30416813943986304,0.29975126819824366,0.2814475000451058
net_profit_margin,0.1017376562348854,0.10114013813578862,0.08204008183084051,0.08085895882955947
revenue_growth,0.0,0.02466090660487419,0.038363942391286265,0.04818320303512702
