,2021,2022,2023,2024
cost_of_goods_sold,62792530.0,78262416.0,80845283.0,104820637.0
current_assets,27202138.0,31983591.0,27983550.0,28462147.0
current_liabilities,10384056.0,9944042.0,23353872.0,10577093.0
equity,95813053.0,108525479.0,101076901.0,96080436.0
financial_profit,-1209281.0,-920388.0,984892.0,-288190.0
gross_profit,3393439.0,22514161.0,18457899.0,5536968.0
net_income,-3700136.0,12712425.0,6234752.0,-4846465.0
other_profit,27506.0,-165199.0,-4390211.0,-530036.0
profit_before_tax,-3700136.0,15066448.0,7885807.0,-4846465.0
revenue,66185969.0,100776577.0,99303182.0,110357604.0
total_assets,129357040.0,118469521.0,124430773.0,106657529.0
total_debt,33543987.0,9944042.0,23353872.0,10577093.0
roa,-0.028604055875118974,0.10730544778686157,0.05010619037141238,-0.04543950197833666
roe,-0.03861828721813092,0.11713769998656261,0.061683252437666244,-0.0504417465382859
debt_ratio,0.25931319238597295,0.08393755555068041,0.18768566197045164,0.09916874222728336
current_ratio,2.619606250197418,3.216357191572602,1.1982402746747949,2.690923394547065
gross_margin,0.051271274731960186,0.22340668506730488,0.1858741948470493,0.05017296316074423
net_profit_margin,-0.05590514207021733,0.12614463974103823,0.06278501730186249,-0.0439160041930595
revenue_growth,0.0,0.5226275073497828,-0.014620411248935317,0.1113199172207795
