,2021,2022,2023,2024
current_assets,737412660.0,788237110.0,668491633.0,884745794.0
current_liabilities,131358230.0,83041400.0,10595443.0,136020101.0
equity,710882700.0,728127600.0,755141432.0,78759848.0
financial_profit,10442880.0,13843130.0,-1384170.0,-2214925.0
net_income,34970260.0,17244900.0,27013828.0,17118416.0
other_profit,3690.0,0.0,7298.0,3364.0
revenue,84155410.0,72407840.0,80522643.0,74751516.0
total_assets,842240930.0,811169010.0,741312858.0,925279949.0
total_debt,131358230.0,83041400.0,10595443.0,136020101.0
roa,0.04152049461666509,0.02125931807971806,0.03644052265986732,0.018500796454630618
roe,0.04919272898327671,0.02368389826178818,0.03577320334344997,0.2173495306898002
debt_ratio,0.15596277184011942,0.10237250064570391,0.014292808880430885,0.14700426735390112
current_ratio,5.613753017226252,9.492098037846183,63.09237216414642,6.504522401435358
net_profit_margin,0.4155438135230997,0.23816343644555618,0.3354811391374722,0.22900426527804466
revenue_growth,0.0,-0.13959375873755475,0.1120707785234305,-0.07167085908990845
