,2021,2022,2023,2024
cost_of_goods_sold,29059562.0,41263359.0,32135335.0,34731844.0
current_assets,19980220.0,19669677.0,23984067.0,23636863.0
current_liabilities,4817933.0,3557476.0,5399740.0,4218624.0
equity,28510599.0,28102947.0,29491064.0,30316829.0
financial_profit,-54776.0,49994.0,229024.0,247669.0
gross_profit,6017658.0,8012746.0,8358748.0,12857817.0
net_income,985474.0,577823.0,1838117.0,2791705.0
other_profit,-430584.0,-100264.0,-8164.0,304348.0
profit_before_tax,1164120.0,864113.0,2407689.0,3580140.0
revenue,35200983.0,49657164.0,40550444.0,47589661.0
total_assets,33328532.0,31660424.0,34890804.0,34535453.0
total_debt,4817933.0,3557476.0,5399740.0,4218624.0
roa,0.02956847904372146,0.018250639978794978,0.052681990360554605,0.0808359166448461
roe,0.03456518047902115,0.020560939747706886,0.06232793092850092,0.09208433375403477
debt_ratio,0.14455881225131667,0.11236349835365439,0.15476112273021855,0.12215342882573453
current_ratio,4.147052273246639,5.5291102455786065,4.441707748891614,5.602979312685843
gross_margin,0.17095141916917492,0.1613613294549,0.2061320956189777,0.2701808907611256
net_profit_margin,0.02799563864452308,0.011636246483991716,0.04532914608777157,0.058662006438751475
revenue_growth,0.0,0.41067549164749173,-0.18339186668010277,0.1735916134481783
