,2021,2022,2023,2024
cost_of_goods_sold,849062411.0,993507011.0,776871357.0,873235800.0
current_assets,477103820.0,448183388.0,398377188.0,363133820.0
current_liabilities,606493190.0,570302518.0,497207392.0,421457575.0
equity,360908474.0,376205779.0,385806257.0,430687461.0
financial_profit,18193696.0,8080197.0,16348690.0,26327148.0
gross_profit,99788088.0,107518781.0,85142667.0,90275008.0
net_income,22626283.0,29939195.0,30558110.0,41505309.0
other_profit,-10065931.0,1214681.0,1243372.0,3649887.0
profit_before_tax,22626283.0,29939195.0,30558110.0,41505309.0
revenue,948963754.0,1102638274.0,862901413.0,963665809.0
total_assets,1052353490.0,1014503286.0,936664833.0,867688675.0
total_debt,691445016.0,638297507.0,550858577.0,437001214.0
roa,0.021500648988202625,0.02951118583168394,0.03262438059313795,0.04783433297662897
roe,0.06269257895008583,0.07958196463537047,0.07920584346562322,0.09636990337176313
debt_ratio,0.6570463466605694,0.6291724391713799,0.5881063936559685,0.5036382594252483
current_ratio,0.7866598139378943,0.7858695584437171,0.801229415350285,0.8616141731466092
gross_margin,0.10515479393114945,0.09751047422828713,0.09867021390542097,0.0936787495798764
net_profit_margin,0.023843147754197574,0.027152327019622394,0.03541321121929835,0.04307023099955184
revenue_growth,0.0,0.1619392936265931,-0.21742113134737784,0.11677393788205559
