,2021,2022,2023,2024
cost_of_goods_sold,199681677.0,176356381.0,138293058.0,158240285.0
current_assets,257606101.0,600387112.0,817513030.0,988648967.0
current_liabilities,246757057.0,242271162.0,619959153.0,326428082.0
equity,148853762.0,167146715.0,202337048.0,342502254.0
financial_profit,-4915411.0,-5411021.0,-6558572.0,-19070858.0
gross_profit,63223601.0,74213738.0,76278343.0,234025814.0
net_income,26546920.0,35246953.0,37877680.0,142965206.0
other_profit,1116548.0,518229.0,2678919.0,119217.0
profit_before_tax,33183650.0,43976299.0,47347100.0,178851446.0
revenue,262905278.0,250570119.0,214571401.0,392266100.0
total_assets,732519593.0,901454210.0,1164096156.0,1325650336.0
total_debt,583665831.0,734307496.0,961759109.0,983148082.0
roa,0.0362405596432968,0.039100103598162794,0.03253827426950115,0.10784533607209074
roe,0.17834228469146785,0.21087433875083936,0.18720091241026704,0.4174139128439137
debt_ratio,0.796792108467193,0.8145810268055657,0.8261852803506723,0.7416345436659701
current_ratio,1.043966499405932,2.478161688926064,1.3186562792790963,3.028688466208615
gross_margin,0.24048053154718332,0.29617952170905104,0.35549165752988676,0.5965996398873112
net_profit_margin,0.10097522652245879,0.14066702422725832,0.17652715983338338,0.36445975321344365
revenue_growth,0.0,-0.046918643451501985,-0.14366724230194428,0.8281378514185123
