,2020,2021,2022,2023
cost_of_goods_sold,5846094688.0,8261392065.0,9542088341.0,13612688894.0
current_assets,5361333794.0,6012889078.0,6270998830.0,9346408853.0
current_liabilities,4065393321.0,4742602920.0,5470954454.0,8311704419.0
equity,2837438186.0,3033198838.0,3152394811.0,3068181966.0
financial_profit,-192568459.0,-293093278.0,-330225143.0,-732767089.0
gross_profit,1659698736.0,1962748055.0,2148527206.0,2475379407.0
net_income,368742918.0,418320815.0,411644254.0,16493206.0
other_profit,15786681.0,77360731.0,22061670.0,25717060.0
profit_before_tax,452579148.0,527253107.0,557579691.0,149940142.0
revenue,7709807999.0,10449389230.0,11893040369.0,16517174891.0
total_assets,6921492101.0,7846076428.0,8731289524.0,11468011000.0
total_debt,4084053915.0,4812877590.0,5578894712.0,8399829034.0
roa,0.053275061593543525,0.053315924059464184,0.04714587150826909,0.0014381923770390524
roe,0.12995628233220655,0.1379140759778967,0.13058144004158495,0.005375563178054349
debt_ratio,0.5900539732480438,0.6134120199013692,0.6389542686295189,0.7324573576010697
current_ratio,1.3187737005189024,1.2678457757117056,1.1462348814501755,1.1244876359696736
gross_margin,0.2152710853779071,0.1878337586817981,0.1806541590155768,0.14986699743361093
net_profit_margin,0.047827769258044786,0.040033039806672034,0.034612196816633876,0.0009985488504445721
revenue_growth,0.0,0.3553371538377268,0.13815650917235467,0.3888101257987078
