,2021,2022,2023,2024
cost_of_goods_sold,920124782.0,843394340.0,637368901.0,671520898.0
current_assets,852901530.0,879002636.0,833961238.0,961166627.0
current_liabilities,231698845.0,199825109.0,122557324.0,160062623.0
equity,1249052479.0,1267648380.0,1260893848.0,1284684007.0
financial_profit,11907758.0,-394475.0,20015621.0,62009396.0
gross_profit,209721785.0,348751343.0,267377671.0,248056556.0
net_income,15860794.0,41690925.0,25114128.0,40785250.0
other_profit,7238268.0,-1951589.0,16253193.0,-291885.0
profit_before_tax,24268961.0,64787344.0,43314332.0,53134786.0
revenue,1130312364.0,1193242313.0,904838743.0,919583349.0
total_assets,1628313182.0,1620433955.0,1548934213.0,1631595008.0
total_debt,379260703.0,352785575.0,288040366.0,346911001.0
roa,0.009740628630494007,0.025728246974434696,0.016213811916103632,0.0249971652279044
roe,0.012698260694937543,0.03288839843742789,0.019917717926719553,0.031747301108886614
debt_ratio,0.23291631314693859,0.21771055457795563,0.1859603613778528,0.2126207786240052
current_ratio,3.6810780390381317,4.398859784933234,6.8046625920128605,6.0049411223256035
gross_margin,0.18554321060226853,0.2922720215336514,0.2954975934314077,0.2697488555765487
net_profit_margin,0.014032221981427428,0.0349391942824944,0.02775536325592548,0.04435187962499743
revenue_growth,0.0,0.05567483025426756,-0.2416974045069754,0.016295285888305422
