,2021,2022,2023,2024
cost_of_goods_sold,1256683509.0,1239380955.0,1511291364.0,1389574847.0
current_assets,510829100.0,615952278.0,473336913.0,370700514.0
current_liabilities,527573519.0,666773273.0,646684616.0,609808059.0
equity,287201044.0,291485886.0,161555432.0,60099903.0
financial_profit,-21962422.0,-34408874.0,-60269137.0,-58865988.0
gross_profit,194185973.0,77300075.0,-23239594.0,20269499.0
net_income,83891712.0,15133241.0,-132936511.0,-96224095.0
other_profit,1527027.0,-340620.0,966910.0,2751148.0
profit_before_tax,97067604.0,16069096.0,-132323556.0,-96069866.0
revenue,1450869482.0,1316681030.0,1488051769.0,1409844347.0
total_assets,1183925367.0,1285615999.0,1110910080.0,933660531.0
total_debt,896724323.0,994130113.0,949354648.0,873560628.0
roa,0.07085895305425954,0.011771198407433634,-0.1196645105605667,-0.10306111461832802
roe,0.29210099946572615,0.05191757723734178,-0.8228538610821826,-1.6010690566339183
debt_ratio,0.7574162594997426,0.7732714230168817,0.8545737995284011,0.9356298129732122
current_ratio,0.968261449073982,0.9237806956908424,0.7319439821033256,0.6078970399438424
gross_margin,0.13384110384093115,0.0587082772810967,-0.01561746337334585,0.014377118327375185
net_profit_margin,0.057821680751294485,0.011493475378771122,-0.08933594500501547,-0.06825157344834182
revenue_growth,0.0,-0.09248830006061148,0.13015357181837728,-0.05255692283646618
