,2021,2022,2023,2024
cost_of_goods_sold,404720153.0,524452698.0,521776048.0,513925929.0
current_assets,1000342560.0,1107399924.0,551862630.0,628613174.0
current_liabilities,546266107.0,584412357.0,574005066.0,589967426.0
equity,1274129790.0,1337949414.0,1774405325.0,1914484905.0
financial_profit,-4796195.0,10453864.0,34640579.0,-93142851.0
gross_profit,-5559713.0,471078031.0,452915301.0,469811411.0
net_income,-467538709.0,72336968.0,119611561.0,176735590.0
other_profit,26554369.0,-13328288.0,-26706441.0,143304521.0
profit_before_tax,-463617617.0,127206208.0,141402854.0,208919597.0
revenue,406346976.0,1002023940.0,989181986.0,1018575979.0
total_assets,2216724543.0,2298502418.0,4133603749.0,3853256849.0
total_debt,942594753.0,960553004.0,2359198424.0,1938771944.0
roa,-0.21091421145509462,0.0314713473579648,0.028936387777598757,0.04586654794264923
roe,-0.36694747479375706,0.054065547802541955,0.06740937897038829,0.09231495612131765
debt_ratio,0.4252196133148511,0.4179038475129418,0.5707364728829503,0.5031514949498245
current_ratio,1.8312367309290158,1.8948947788932533,0.9614246679836794,1.0655048843323767
gross_margin,-0.01368218130901016,0.4701265231247868,0.4578685291585971,0.4612433639572409
net_profit_margin,-1.150589856979765,0.07219085803478907,0.1209196717013405,0.17351242680345988
revenue_growth,0.0,1.4659318247270532,-0.012816015154288651,0.029715455210483466
