,2021,2022,2023,2024
cost_of_goods_sold,0.0,0.0,0.0,19935960.0
current_assets,61118276.0,768040660.0,537649102.0,744278577.0
current_liabilities,72789898.0,1069826212.0,1199620057.0,547321807.0
equity,1520442648.0,2096175802.0,2089277389.0,2455804961.0
financial_profit,320851.0,4779443.0,0.0,6938415.0
gross_profit,0.0,0.0,0.0,-17759557.0
net_income,-2015464.0,-4266847.0,-6799413.0,-17308428.0
other_profit,-495000.0,-2293036.0,-54732.0,-4349.0
profit_before_tax,-2015464.0,-4266847.0,-6799413.0,-17308428.0
revenue,0.0,0.0,0.0,2176403.0
total_assets,1593232546.0,3166002014.0,4436834700.0,7120908109.0
total_debt,72789898.0,1069826212.0,2347557311.0,4665103148.0
roa,-0.0012650155842347448,-0.0013477082393289976,-0.0015324918460451096,-0.00243064897553223
roe,-0.0013255771289046347,-0.0020355387157551014,-0.0032544328655442125,-0.007047965239451277
debt_ratio,0.045686926357830004,0.3379107806215059,0.5291063268595515,0.6551275590965501
current_ratio,0.8396532716669008,0.7179116116104286,0.44818282160482414,1.3598555136685793
gross_margin,0.0,0.0,0.0,-8.160049862088961
net_profit_margin,0.0,0.0,0.0,-7.952767938658419
revenue_growth,0.0,0.0,0.0,0.0
