,2020,2021,2022,2023
cost_of_goods_sold,260230187.0,365001741.0,398076119.0,284552405.0
current_assets,143533485.0,175713613.0,175081448.0,153982580.0
current_liabilities,62827657.0,69374069.0,82277012.0,105271516.0
equity,164552406.0,168293748.0,168222891.0,166380320.0
financial_profit,1509425.0,1797698.0,888732.0,4433174.0
gross_profit,27625866.0,27807781.0,22899343.0,24532250.0
net_income,3944204.0,3916342.0,97143.0,994298.0
other_profit,185527.0,716035.0,86906.0,-1195832.0
profit_before_tax,3982479.0,3954140.0,97143.0,994298.0
revenue,287862391.0,392828338.0,421037037.0,309092519.0
total_assets,227804938.0,254855371.0,251121452.0,272126385.0
total_debt,63252532.0,86561623.0,82898561.0,105746065.0
roa,0.0173139530452145,0.015366919616538119,0.0003868367247255324,0.003653809607620371
roe,0.02396928793614844,0.023270870406903055,0.0005774660001533323,0.005976055341160541
debt_ratio,0.27766093463698316,0.33964998524594564,0.3301134185859996,0.38859173835716077
current_ratio,2.2845589323822786,2.5328428263303975,2.1279509761487208,1.4627183672362047
gross_margin,0.09596900068824898,0.07078863287098193,0.054387953998450735,0.07936863072379956
net_profit_margin,0.013701699573529909,0.009969601531140047,0.00023072317032289964,0.0032168297156360487
revenue_growth,0.0,0.3646393217097956,0.07180922624782737,-0.26587807760959514
