,2021,2022,2023,2024
cost_of_goods_sold,120537958.0,140800495.0,126442250.0,246841727.0
current_assets,240857346.0,184334390.0,235364179.0,254368940.0
current_liabilities,186130104.0,154032058.0,188196435.0,209564115.0
equity,71745843.0,72159656.0,56708875.0,57719304.0
financial_profit,-1418140.0,-5985504.0,-5624612.0,-725427.0
gross_profit,11103874.0,16492388.0,7542750.0,21618068.0
net_income,-8585883.0,413813.0,-15450781.0,1010428.0
other_profit,6172342.0,1768063.0,-483615.0,1173658.0
profit_before_tax,-7892331.0,413813.0,-14676661.0,1015841.0
revenue,131641832.0,157292883.0,133985000.0,268459796.0
total_assets,272364348.0,234883425.0,255369925.0,272420775.0
total_debt,200618505.0,162723769.0,198661049.0,214701471.0
roa,-0.031523520104767895,0.001761780338480674,-0.0605035264039021,0.003709071013398299
roe,-0.11967080796583573,0.005734686429214685,-0.27245790010822823,0.017505893695461055
debt_ratio,0.7365813715090199,0.6927852359101115,0.7779343985005283,0.7881244409498505
current_ratio,1.2940268168549458,1.1967274370897518,1.2506303799006606,1.213800082137154
gross_margin,0.08434912999387612,0.1048514572652343,0.05629548083740717,0.08052627738717345
net_profit_margin,-0.06522153991293589,0.0026308437616977243,-0.1153172444676643,0.0037637963488581358
revenue_growth,0.0,0.19485486194084567,-0.14818142153322977,1.0036556032391686
