,2021,2022,2023,2024
cost_of_goods_sold,726628533.0,1113133245.0,1089166276.0,1068263847.0
current_assets,63473233.0,131584142.0,130468581.0,83117656.0
current_liabilities,47615696.0,75538475.0,64498700.0,82217552.0
equity,130500954.0,138617728.0,152627367.0,154170163.0
financial_profit,-2333348.0,-282394.0,1634189.0,-108142.0
gross_profit,61720742.0,84064580.0,112089582.0,120680922.0
net_income,20753290.0,24795240.0,31730210.0,26461493.0
other_profit,3017117.0,-306859.0,8784021.0,2835201.0
profit_before_tax,26074945.0,31277361.0,39812785.0,33634093.0
revenue,788349275.0,1197197824.0,1201255858.0,1188944769.0
total_assets,194116163.0,228479676.0,231732526.0,251796546.0
total_debt,63615209.0,89861948.0,79105159.0,97626383.0
roa,0.10691170523497315,0.10852273792615147,0.1369260092560334,0.10509077038729514
roe,0.15902787959695683,0.178874956022941,0.20789331968230834,0.17163822418738703
debt_ratio,0.32771721847809243,0.39330390156890804,0.3413640733368608,0.3877193097001418
current_ratio,1.3330317171043766,1.7419486162515194,2.022809467477639,1.0109478326477053
gross_margin,0.07829111278119714,0.07021778549440465,0.09331033122837017,0.10150254675118554
net_profit_margin,0.02632499408336489,0.02071106337059296,0.026414197931844758,0.022256284471696936
revenue_growth,0.0,0.5186134648249661,0.0033896102370463144,-0.010248515266761737
