,2021,2022,2023,2024
cost_of_goods_sold,563301373.0,757592389.0,643051093.0,628895376.0
current_assets,82646748.0,106812588.0,111352224.0,180889257.0
current_liabilities,101136914.0,107490282.0,82864741.0,102772784.0
equity,301200479.0,302583045.0,298929363.0,325922345.0
financial_profit,-18685401.0,-14192821.0,-8510081.0,-3011531.0
gross_profit,63692645.0,64028319.0,63858726.0,70504389.0
net_income,22073747.0,22956313.0,18502631.0,28776521.0
other_profit,8395338.0,10131329.0,465634.0,7571696.0
profit_before_tax,27663039.0,28978218.0,23417896.0,36505725.0
revenue,626994019.0,821620708.0,706909819.0,699399765.0
total_assets,533198586.0,492683120.0,429631047.0,443502072.0
total_debt,231998107.0,190100075.0,130701684.0,117579727.0
roa,0.041398735067163135,0.04659447841444213,0.04306632662885743,0.06488474985072899
roe,0.07328589606924231,0.07586781010813082,0.06189633167618933,0.0882925685871584
debt_ratio,0.43510638079599107,0.38584653559878407,0.30421843326420495,0.2651165223868447
current_ratio,0.8171768816280077,0.9936952998225458,1.343782924513093,1.760089101021142
gross_margin,0.10158413488789596,0.07792929070137312,0.09033503890260718,0.10080699555282235
net_profit_margin,0.035205673947585135,0.02794028044385658,0.026173962367892926,0.04114459632396359
revenue_growth,0.0,0.3104123533912051,-0.1396153819920517,-0.010623779438548198
