,2021,2022,2023,2024
cost_of_goods_sold,43602717.0,34329489.0,24025504.0,166285673.0
current_assets,62568170.0,51455899.0,52024947.0,102065346.0
current_liabilities,51409688.0,39212153.0,40839372.0,90069030.0
equity,20618390.0,21123329.0,19753545.0,20896680.0
financial_profit,728748.0,1017718.0,1249890.0,352854.0
gross_profit,6513175.0,7610767.0,3915948.0,8770051.0
net_income,1153390.0,1598439.0,228655.0,1372087.0
other_profit,-1197.0,793850.0,5291.0,964561.0
profit_before_tax,1380507.0,2060949.0,358790.0,1827075.0
revenue,50115892.0,41940256.0,27941453.0,175055724.0
total_assets,72028078.0,60335483.0,60592917.0,110965710.0
total_debt,51409688.0,39212153.0,40839372.0,90069030.0
roa,0.016013060906609224,0.02649252016429536,0.003773625884358728,0.01236496391542937
roe,0.05593986727382691,0.07567173715847535,0.011575390645071555,0.06566052597828938
debt_ratio,0.713745103680262,0.6499020319436243,0.6739958071336952,0.8116834470756777
current_ratio,1.2170501793358481,1.3122436556850117,1.2738919442737757,1.133190243083555
gross_margin,0.12996226825614518,0.1814668703977391,0.1401483308688349,0.05009862459567446
net_profit_margin,0.023014456172904197,0.03811228524689978,0.008183361115830304,0.007838001344074873
revenue_growth,0.0,-0.16313460009850766,-0.33377962690547236,5.265090222759711
