,2021,2022,2023,2024
cost_of_goods_sold,266739552.0,285917651.0,315133649.0,310971555.0
current_assets,389042182.0,441141346.0,379070959.0,335435862.0
current_liabilities,62617001.0,66342117.0,83177691.0,86227405.0
equity,388876873.0,427782034.0,343196893.0,289611822.0
financial_profit,9390486.0,13134960.0,19854256.0,9559414.0
gross_profit,147492408.0,186355899.0,170052736.0,187213438.0
net_income,64759700.0,83416455.0,83564441.0,80133204.0
other_profit,-686764.0,577548.0,340516.0,269405.0
profit_before_tax,81284089.0,104480438.0,104602411.0,100312772.0
revenue,414407157.0,472709909.0,485445722.0,498360090.0
total_assets,451493875.0,494124152.0,426374584.0,375839228.0
total_debt,62617001.0,66342117.0,83177691.0,86227405.0
roa,0.14343428246950193,0.1688167936385348,0.19598832607714722,0.21321138941888204
roe,0.16653008830381127,0.19499756504500607,0.2434883377571836,0.27669175742418417
debt_ratio,0.13868848386924407,0.13426204068648723,0.19508125981543029,0.22942630405786169
current_ratio,6.21304399423409,6.649491543961433,4.557363331953997,3.8901305449236236
gross_margin,0.3559118261077716,0.39422888213667634,0.3503022651006079,0.3756589698023371
net_profit_margin,0.15627070842311733,0.17646436728281065,0.17213961770168817,0.1607937826642579
revenue_growth,0.0,0.14068953929770078,0.026942132495047844,0.026603114240648207
