,2021,2022,2023,2024
cost_of_goods_sold,1330446670.0,1798027177.0,1581739890.0,1728483841.0
current_assets,632673557.0,547672007.0,750064227.0,806532268.0
current_liabilities,936527476.0,820741586.0,1055267222.0,1034870659.0
equity,653845219.0,640522389.0,637329068.0,668811932.0
financial_profit,35553983.0,1337769.0,-24208252.0,-5215934.0
gross_profit,236369702.0,223486700.0,250504640.0,296190115.0
net_income,-108124554.0,-13322830.0,-24039200.0,31482865.0
other_profit,8997996.0,15813786.0,13456221.0,11575475.0
profit_before_tax,-98003573.0,-1734655.0,-12931289.0,40102578.0
revenue,1634328867.0,2073867401.0,1876724101.0,2055746203.0
total_assets,1732115303.0,1597223243.0,1777820280.0,1772788226.0
total_debt,1078270084.0,956700854.0,1140491212.0,1103976293.0
roa,-0.06242341593121991,-0.008341244756103264,-0.013521726729318218,0.01775895424973338
roe,-0.16536720137736452,-0.020799944277982138,-0.03771866247280596,0.047072821960359404
debt_ratio,0.6225163429550279,0.5989775431786651,0.6415109698264889,0.622734445552438
current_ratio,0.6755525846419481,0.6672892130020569,0.710781318099161,0.7793556238026457
gross_margin,0.14462799181530947,0.10776325424288782,0.13347973730742854,0.1440791254133232
net_profit_margin,-0.06615838230800827,-0.0064241474616823875,-0.012809128410079496,0.015314567991932222
revenue_growth,0.0,0.2689413023749767,-0.09506070634262309,0.09539074065527764
