,2021,2022,2023,2024
cost_of_goods_sold,68259415.0,103425414.0,114392539.0,158800178.0
current_assets,81001620.0,105115064.0,95131664.0,124562539.0
current_liabilities,49012467.0,72953819.0,65758873.0,90710387.0
equity,44778033.0,43757100.0,38058424.0,40346291.0
financial_profit,803514.0,690921.0,375291.0,-215671.0
gross_profit,16258625.0,22451543.0,9421451.0,22214249.0
net_income,1774423.0,1877782.0,-3753350.0,2287867.0
other_profit,52370.0,4104882.0,4842598.0,-765247.0
profit_before_tax,2164679.0,2764965.0,-3753350.0,3027599.0
revenue,84518040.0,125876956.0,148563990.0,181014427.0
total_assets,93997790.0,116710919.0,103817297.0,131056677.0
total_debt,49219757.0,72953819.0,65758873.0,90710387.0
roa,0.018877284242533786,0.016089171570999282,-0.03615341670858566,0.0174570808017664
roe,0.039627086790525165,0.042913767137218874,-0.0986207416260852,0.05670575766183811
debt_ratio,0.5236267469692638,0.625081351642857,0.6334096041818542,0.6921462460092743
current_ratio,1.6526737982807518,1.4408438850884557,1.446674184942312,1.3731893680488874
gross_margin,0.19236869430478984,0.17836102582588667,0.06341678760781802,0.12272087572334774
net_profit_margin,0.02099460659523103,0.01491759937378848,-0.025264197602662665,0.012639141740895603
revenue_growth,0.0,0.48935015530412196,0.18023182892983214,0.21842733895340327
