,2021,2022,2023,2024
cost_of_goods_sold,107963640.0,111721839.0,113596511.0,111619639.0
current_assets,99304186.0,168322507.0,195334212.0,272807608.0
current_liabilities,182847336.0,229606667.0,191555439.0,199402880.0
equity,580640344.0,638720145.0,590445436.0,553967421.0
financial_profit,-24805574.0,-27318576.0,-22628873.0,-33935343.0
gross_profit,177053409.0,196422942.0,172800406.0,136086890.0
net_income,140613976.0,173373777.0,137405291.0,88101985.0
other_profit,4172773.0,26574777.0,3250247.0,3297083.0
profit_before_tax,148980254.0,186785178.0,145233970.0,98320061.0
revenue,285017048.0,308144781.0,286396917.0,247706529.0
total_assets,992026049.0,1010948844.0,1000461847.0,1040319390.0
total_debt,411385706.0,372228699.0,410016411.0,486351969.0
roa,0.1417442376051962,0.17149609303079633,0.13734186007395044,0.08468743911425125
roe,0.24217052337651548,0.2714393437520277,0.23271462970542803,0.1590382063280216
debt_ratio,0.4146924432223251,0.3681973635057641,0.4098271335678431,0.4675025513078248
current_ratio,0.5430988942600727,0.7330906771971042,1.0197267852049872,1.3681227071544804
gross_margin,0.621202872748861,0.6374371857364023,0.603359867871762,0.5493875779107946
net_profit_margin,0.493352860773437,0.5626373954391264,0.4797722421013352,0.355670822871205
revenue_growth,0.0,0.0811450864511094,-0.07057677215698166,-0.13509359110873387
