,2010,2011
cost_of_goods_sold,1419707.0,1255888.0
current_assets,27363974.0,25160106.0
current_liabilities,869987.0,344234.0
equity,29701539.0,27182065.0
financial_profit,4163032.0,1432848.0
gross_profit,5474517.0,5398295.0
net_income,4345086.0,1650680.0
other_profit,182864.0,180000.0
profit_before_tax,5336133.0,2230041.0
revenue,6894224.0,6654183.0
total_assets,30647427.0,27613481.0
total_debt,945889.0,431416.0
roa,0.14177653478055433,0.05977804826562794
roe,0.1462916113538763,0.06072680644388129
debt_ratio,0.030863569721529968,0.015623383375677988
current_ratio,31.453313670204267,73.0901247407287
gross_margin,0.7940729805123825,0.8112633812445494
net_profit_margin,0.6302501920448189,0.24806651695632656
revenue_growth,0.0,-0.034817696668979714
