,2020,2021,2022,2024
cost_of_goods_sold,523980614.0,305944921.0,135552609.0,93420269.0
current_assets,1070252854.0,988713521.0,996088505.0,792168116.0
current_liabilities,884868470.0,798599438.0,852569188.0,679124544.0
equity,457431120.0,457392811.0,432876302.0,180789560.0
financial_profit,-45636093.0,-34518491.0,-27453026.0,-26662462.0
gross_profit,97677652.0,76243142.0,58507125.0,-508131.0
net_income,1575170.0,740277.0,77698.0,2690794.0
other_profit,1995886.0,1278118.0,5220214.0,46718188.0
profit_before_tax,2352635.0,5475560.0,5681033.0,2910027.0
revenue,637445408.0,385176608.0,194059734.0,92912137.0
total_assets,1353517019.0,1260147051.0,1285495489.0,859994103.0
total_debt,896085899.0,802754239.0,852619188.0,679204544.0
roa,0.0011637607639124927,0.0005874528686255681,6.0442063519368755e-05,0.0031288516870213935
roe,0.0034435129818015005,0.001618470999536545,0.00017949238533275034,0.014883569604351048
debt_ratio,0.6620425797542188,0.637032192681773,0.6632611279431724,0.7897781410717417
current_ratio,1.209505017169388,1.2380593748927733,1.1683374428961888,1.1664548469036042
gross_margin,0.15323296830463637,0.19794333408741166,0.30149028752147006,-0.005468941049111807
net_profit_margin,0.0024710665105301065,0.0019219157773984032,0.00040038187417076437,0.028960629761427187
revenue_growth,0.0,-0.3957496545335534,-0.496179856280369,-0.521218878925187
