,2021,2022,2023,2024
current_assets,10839040650.0,10832351410.0,12716817539.0,13935072946.0
current_liabilities,4204719050.0,1364948810.0,2012505211.0,2725781172.0
equity,6055579670.0,9435859430.0,2131943265.0,3079597730.0
financial_profit,-145201690.0,-158333150.0,-54027155.0,-59587446.0
net_income,1396285500.0,162216050.0,559293398.0,1015614429.0
other_profit,632540.0,213100.0,98697.0,2742462.0
revenue,2895317650.0,1542468210.0,1460069441.0,1991305549.0
total_assets,10910883600.0,10899625770.0,12778590047.0,14017689592.0
total_debt,4855303930.0,1463766340.0,2085696795.0,2816524554.0
roa,0.127971807892809,0.014882717390764142,0.04376800538579794,0.07245234118892309
roe,0.2305783386712506,0.017191444107810327,0.26233971943901613,0.3297880171511881
debt_ratio,0.4449964006581465,0.13429510066564423,0.1632180692336753,0.20092644622459122
current_ratio,2.577827560202863,7.936086196521905,6.318899185697562,5.112322694552679
net_profit_margin,0.4822564114856275,0.10516654343236027,0.3830594506634839,0.5100244056016539
revenue_growth,0.0,-0.46725423719915504,-0.053420075996250205,0.3638430427227879
