,2021,2022,2023,2024
cost_of_goods_sold,102084418.0,47332875.0,44010136.0,51216683.0
current_assets,229222787.0,179106061.0,134680918.0,128305082.0
current_liabilities,191450825.0,177382809.0,132828254.0,123218233.0
equity,252503320.0,274092858.0,273613816.0,278769950.0
financial_profit,-19286922.0,-35406465.0,-39440469.0,-32287827.0
gross_profit,50319281.0,63895675.0,46744078.0,63592104.0
net_income,18243015.0,15735756.0,-1516967.0,19826321.0
other_profit,-340063.0,14976.0,279503.0,-953384.0
profit_before_tax,21180770.0,16983032.0,-705726.0,21037507.0
revenue,152403699.0,111228550.0,90754214.0,114808787.0
total_assets,849970279.0,832580605.0,792458680.0,744015342.0
total_debt,597466959.0,558487747.0,518844864.0,465245391.0
roa,0.021463121065201388,0.018899979059685157,-0.0019142537501135074,0.02664773141196865
roe,0.07224861439445628,0.057410310194948605,-0.005544190063852624,0.07112072517141822
debt_ratio,0.7029268831645819,0.6707912046545932,0.6547279714318985,0.6253169319726205
current_ratio,1.1972932840587132,1.0097148760340129,1.0139478156507273,1.0412832490464297
gross_margin,0.33017099539034156,0.5744539059441124,0.5150623418985261,0.5538957919658187
net_profit_margin,0.11970191747117634,0.14147227487906658,-0.016715113636486346,0.17268992659943355
revenue_growth,0.0,-0.27017158553349807,-0.1840744664926406,0.2650518575368852
