,2021,2022,2023,2024
cost_of_goods_sold,474686814.0,667239412.0,466646565.0,2001883826.0
current_assets,695183282.0,548989524.0,622616673.0,1225029863.0
current_liabilities,659749969.0,547154013.0,575629195.0,1274514389.0
equity,659878399.0,681815994.0,751297287.0,906095458.0
financial_profit,-96568734.0,-82299014.0,-88407132.0,-101755276.0
gross_profit,235830349.0,240168506.0,229505309.0,357795042.0
net_income,56399788.0,71515449.0,89043164.0,170146055.0
other_profit,5718055.0,14219979.0,-9987167.0,2501280.0
profit_before_tax,63265397.0,86231849.0,98619526.0,181633111.0
revenue,710517163.0,907407918.0,696151874.0,2359678869.0
total_assets,2128531125.0,1918647584.0,1917897471.0,2671255540.0
total_debt,1468652726.0,1236831590.0,1166600184.0,1765160082.0
roa,0.0264970464080012,0.03727388479071517,0.04642748913661819,0.06369516223820354
roe,0.08546997156668558,0.10488966176994668,0.11851921408575511,0.18777939288599768
debt_ratio,0.6899841438776236,0.6446371914853958,0.6082703594117206,0.6607979115318934
current_ratio,1.0537071840317132,1.003354651444364,1.0816280313926745,0.9611738192780811
gross_margin,0.33191365568744186,0.2646753474769657,0.3296770684265945,0.15162870113407792
net_profit_margin,0.07937850193774981,0.07881289944838238,0.1279076697565566,0.07210559760282365
revenue_growth,0.0,0.27710907667405626,-0.23281265218141944,2.389603557973041
