,2021,2022,2023,2024
cost_of_goods_sold,179548185.0,314361072.0,289319731.0,294049832.0
current_assets,286900621.0,407839784.0,549294423.0,493279525.0
current_liabilities,10527485.0,13111133.0,15312733.0,14326287.0
equity,801005125.0,843982195.0,882027107.0,884335850.0
financial_profit,8111278.0,8508589.0,17335768.0,12434448.0
gross_profit,-12389076.0,95488639.0,120089672.0,87064361.0
net_income,-38539403.0,42977071.0,69710779.0,33974610.0
other_profit,1181697.0,749715.0,5640013.0,1760314.0
profit_before_tax,-38539403.0,47906761.0,82547118.0,41359684.0
revenue,167159109.0,409849711.0,409409403.0,381114193.0
total_assets,811532609.0,857093329.0,897399839.0,898722136.0
total_debt,10527485.0,13111133.0,15372733.0,14386287.0
roa,-0.04748965423273583,0.0501428135605055,0.07768084634122606,0.03780324155718804
roe,-0.04811380326686424,0.05092177448127327,0.07903473538030391,0.03841822086032134
debt_ratio,0.012972349950265524,0.015297205749223606,0.01713030505680757,0.016007491552427946
current_ratio,27.252531920016985,31.106372271564936,35.87174301282469,34.43177740331462
gross_margin,-0.07411547042883555,0.2329845219776183,0.29332416676321427,0.22844691328512134
net_profit_margin,-0.2305552071350177,0.10486056192436842,0.1702715631081878,0.08914548611418416
revenue_growth,0.0,1.4518538861079953,-0.001074315750828947,-0.06911226218221467
