,2021,2022,2023,2024
cost_of_goods_sold,1440478632.0,1765860559.0,1726756568.0,1227753779.0
current_assets,552039415.0,655079512.0,733988685.0,658788137.0
current_liabilities,338762649.0,387473374.0,493423677.0,444431008.0
equity,337848516.0,377435979.0,398146477.0,378576963.0
financial_profit,-3581689.0,-1628558.0,-2092445.0,-3670208.0
gross_profit,311272992.0,351080095.0,394384709.0,326877252.0
net_income,79406008.0,102631977.0,103445678.0,62410734.0
other_profit,508442.0,2564494.0,173906.0,2031213.0
profit_before_tax,98331026.0,127677673.0,130853170.0,78540047.0
revenue,1782454426.0,2151771195.0,2162406633.0,1555399031.0
total_assets,676611165.0,764909353.0,891570153.0,823007972.0
total_debt,338762649.0,387473374.0,493423677.0,444431008.0
roa,0.11735840628642301,0.1341753458726501,0.11602640314048288,0.07583247808442857
roe,0.23503435486453342,0.2719189020398079,0.25981814225622296,0.164856132569271
debt_ratio,0.5006755231418625,0.5065611663399284,0.5534322513373774,0.5400081446598672
current_ratio,1.6295758007253036,1.690643940865986,1.4875424897780087,1.482318121691455
gross_margin,0.1746316693765499,0.16315865544431177,0.18238230635320105,0.2101565228505019
net_profit_margin,0.04454868906701573,0.047696510316005046,0.047838217114828836,0.04012522366037143
revenue_growth,0.0,0.20719563070612845,0.0049426435416151104,-0.2807092767551643
