,2019,2020,2021,2022
cost_of_goods_sold,461539473.0,441264125.0,347372751.0,283029921.0
current_assets,1543545633.0,1610594117.0,1750518670.0,1813588574.0
current_liabilities,757525086.0,789963368.0,848572012.0,847349418.0
equity,1695552378.0,1699811129.0,1699010688.0,1700697483.0
financial_profit,61180057.0,72614602.0,132135454.0,88669679.0
gross_profit,10254640.0,-8717755.0,-61450145.0,-26335973.0
net_income,819422.0,4258750.0,-800441.0,1686795.0
other_profit,31372354.0,16461199.0,-2692953.0,-2257412.0
profit_before_tax,2584859.0,1001294.0,334497.0,1715549.0
revenue,471794114.0,432563170.0,285922606.0,256700363.0
total_assets,2505491976.0,2541842336.0,2615139721.0,2616682937.0
total_debt,809939598.0,842031207.0,916129033.0,915985454.0
roa,0.00032705033895506677,0.0016754579698683562,-0.00030607963068754137,0.0006446310235560649
roe,0.00048327731459794514,0.0025054254130607,-0.0004711218155680019,0.0009918254227227548
debt_ratio,0.3232656922306583,0.3312680708297086,0.35031743261873693,0.35005595865205125
current_ratio,2.0376165245569173,2.038821269747789,2.0628993712321493,2.140307806289188
gross_margin,0.0217354131721957,-0.020153715352141516,-0.2149188056854798,-0.10259421799103571
net_profit_margin,0.001736821159239812,0.0098453828142604,-0.0027995023240659747,0.0065710658928830575
revenue_growth,0.0,-0.08315267790729586,-0.33900381301533367,-0.10220333190443853
