,2021,2022,2023,2024
cost_of_goods_sold,633815380.0,92515899.0,10480022.0,450065864.0
current_assets,377169855.0,312093913.0,275598567.0,432743814.0
current_liabilities,140949377.0,53653127.0,4570073.0,207086996.0
equity,326902166.0,258440786.0,272310369.0,307056144.0
financial_profit,4738239.0,11055824.0,6385387.0,-9437251.0
gross_profit,150832187.0,247541626.0,2728714.0,22804458.0
net_income,14487700.0,204021003.0,3869582.0,23967954.0
other_profit,2034464.0,-77061.0,-1437229.0,25046832.0
profit_before_tax,19317231.0,255115436.0,5201526.0,29216837.0
revenue,795018642.0,340057526.0,13208736.0,472870322.0
total_assets,472991873.0,312093913.0,276880441.0,517745418.0
total_debt,146089707.0,53653127.0,4570073.0,210689275.0
roa,0.030629913169776597,0.6537167003318004,0.01397564228814559,0.046292933103272774
roe,0.04431815236121745,0.7894303610421615,0.014210189697183363,0.07805723633395201
debt_ratio,0.30886303832962475,0.17191340415537038,0.016505582638825688,0.40693604940797373
current_ratio,2.6759242433544066,5.816882080330565,60.305068868702975,2.08967159869372
gross_margin,0.18972157259175315,0.7279404426414606,0.20658403650432564,0.04822560634287385
net_profit_margin,0.018223094698199542,0.5999602637819579,0.2929562677306897,0.05068610332453894
revenue_growth,0.0,-0.5722647142656562,-0.9611573484187496,34.799816273108945
