,2021,2022,2023,2024
cost_of_goods_sold,547167705.0,721972499.0,638373044.0,912923470.0
current_assets,352285536.0,447151290.0,625551098.0,689174563.0
current_liabilities,121448213.0,152855487.0,172808778.0,193985249.0
equity,1267108086.0,1471841232.0,1682535777.0,1898311437.0
financial_profit,58946070.0,72977125.0,58678799.0,41665299.0
gross_profit,187616598.0,210706616.0,185699576.0,238367012.0
net_income,184790951.0,211743386.0,228443642.0,274354571.0
other_profit,4268849.0,863906.0,17241799.0,15402279.0
profit_before_tax,219726029.0,249978803.0,267157457.0,322180813.0
revenue,0.0,932679116.0,824072620.0,1151290482.0
total_assets,1532328248.0,1736335435.0,1946224648.0,2166375673.0
total_debt,265220163.0,264494203.0,263688871.0,268064236.0
roa,0.12059488640321665,0.12194843331064081,0.11737783828539818,0.12664219526619472
roe,0.14583677039213527,0.14386292583492458,0.13577342314070745,0.1445255850291756
debt_ratio,0.17308312585515948,0.15232897841539472,0.13548737617261952,0.12373857375751653
current_ratio,2.900705801245507,2.92532050223359,3.619903486615709,3.552716335663234
gross_margin,0.0,0.22591544335597624,0.22534370332556372,0.20704332722868807
net_profit_margin,0.0,0.22702704753174724,0.27721299853403697,0.23830177986305978
revenue_growth,0.0,0.0,-0.11644572515548857,0.3970740612641639
